id,surface,route,report_type,exact_visible_text,source_file,source_line,source_function,source_type,data_condition,required_data,example_payload_or_fixture,appears_in_ui,appears_in_pdf,ai_or_copilot_involved,parent_interpretation_risk,problem,severity,required_fix,owner_decision
"PR-001","Parent dashboard","/parent/dashboard","dashboard","דשבורד הורים","pages/parent/dashboard.js","701","ParentDashboardPage","static","parent session exists","session.user.email","parent with active session","yes","no","no","נמוך","תקין","LOW","אין","לא נדרש"
"PR-002","Parent dashboard","/parent/dashboard","dashboard","דוח הורים","pages/parent/dashboard.js","732;751","ParentDashboardPage","static","student card exists","student.id","students=[{id,full_name,grade_level}]","yes","no","no","נמוך","תקין; מוביל ל-source=parent","LOW","אין","לא נדרש"
"PR-003","Parent dashboard","/parent/dashboard","dashboard","עדיין לא נוספו ילדים","pages/parent/dashboard.js","724-727","ParentDashboardPage","fallback","students.length===0","students=[]","parent account without children","yes","no","no","נמוך","תקין","LOW","אין","לא נדרש"
"PR-004","Parent dashboard","/parent/dashboard","dashboard","Failed to load students","pages/parent/dashboard.js","99-106","fetchStudents","fallback","parent list-students API non-ok without Hebrew error","failed API response","HTTP 500 from /api/parent/list-students","yes","no","no","הורה רואה אנגלית בדשבורד","fallback באנגלית באזור הורים","HIGH","להחליף לכל הודעות הכשל עברית","בעלים: מוצר/UX"
"PR-005","Parent dashboard","/parent/dashboard","dashboard","Network error while loading students","pages/parent/dashboard.js","120-122","fetchStudents","fallback","network exception loading students","fetch throws","offline/network failure","yes","no","no","הורה רואה אנגלית בדשבורד","fallback באנגלית","HIGH","תרגום לעברית","בעלים: מוצר/UX"
"PR-006","Parent dashboard","/parent/dashboard","dashboard","Student created.","pages/parent/dashboard.js","182-188","createStudent","fallback","student create success","create-student ok","new student created","yes","no","no","הורה רואה אנגלית אחרי פעולה","טקסט צד הורה באנגלית","MEDIUM","תרגום לעברית","בעלים: מוצר/UX"
"PR-007","Parent report gate","/learning/parent-report","short","דוח להורים","lib/parent-report-server-truth.js","18-23","PARENT_REPORT_PORTAL_GATE","static","route is not remote: no source=parent/teacher or no studentId","router.query lacks source/studentId","/learning/parent-report direct visit","yes","no","no","מבין שדוח רשמי רק בפורטל","תקין","LOW","אין","לא נדרש"
"PR-008","Parent report gate","/learning/parent-report","short","דוח הורים רשמי זמין רק דרך פורטל ההורה — לאחר התחברות ובחירת ילד/ה מהדשבורד.","lib/parent-report-server-truth.js","20-21","PARENT_REPORT_PORTAL_GATE","static","route is not remote","router.query lacks source/studentId","direct route","yes","no","no","ברור שאין לבנות דוח מקומי","תקין","LOW","אין","לא נדרש"
"PR-009","Parent report short","/learning/parent-report?studentId=...&source=parent","short","אין עדיין מספיק פעילות בתקופה שנבחרה. אחרי קצת תרגול יופיע כאן סיכום.","pages/learning/parent-report.js","1348-1361","ParentReport","fallback","!report || no summary || totalQuestions=0 and totalTimeMinutes=0","summary.totalQuestions=0; summary.totalTimeMinutes=0","zero-data parent","yes","no","no","הורה מבין שאין מסקנות","תקין","LOW","אין","לא נדרש"
"PR-010","Parent report short","/learning/parent-report?studentId=...&source=parent","short","מה הכי בולט עכשיו (לפי התרגול שנאסף בתקופה שנבחרה)","pages/learning/parent-report.js","1894-1897","ParentReport","static","report.summary.diagnosticOverviewHe exists","summary.diagnosticOverviewHe","valid report any data","yes","yes","no","כותרת מרכזית; נשמעת מבוססת","תקין אם התוכן מוגן","LOW","לוודא שהתוכן שמתחת עובר gates","לאשר threshold"
