row_number,review_file,id,source_file,source_line,report_surface,report_section,subject_if_known,topic_if_known,scenario_if_known,engine_meaning_plain_he,before_in_report_context,after_in_report_context,context_confidence,notes
1,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00042,components/parent-report-detailed-surface.jsx,226,detailed_report,subject_card,חשבון,,,"המנוע מנסה לבדוק אם יש מספיק סימנים כדי להתקדם, אבל בלי למהר לפני שההצלחה יציבה.","דוח מפורט — כרטיס מקצוע | מקצוע לדוגמה: חשבון
כותרת בדוח: טעויות חוזרות ושימור מה שלומדים
לפני החלפה: לאורך זמן: · מוכנות לשלב הבא: [בדיקה אם מתאים להתקדם]","דוח מפורט — כרטיס מקצוע | מקצוע לדוגמה: חשבון
כותרת בדוח: טעויות חוזרות ושימור מה שלומדים
אחרי החלפה: לאורך זמן: · בדיקה אם מתאים להתקדם: …",medium,
2,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00193,pages/learning/parent-report-detailed.js,637,detailed_report,general,,,,"המנוע מזהה שבתקופה האחרונה היו פחות הצלחות, ורוצה שההורה ישים לב בלי להיבהל.","דוח מפורט — כללי
לפני החלפה: בסיכום המנהלים (מגמות מרכזיות), שורת מגמה עלולה להציג: «בירידה».","דוח מפורט — כללי
אחרי החלפה: בסיכום המנהלים (מגמות מרכזיות), שורת מגמה עלולה להציג: «יש פחות הצלחות לאחרונה».",medium,המחרוזת מופיעה גם ברשימת מילות מגמה שמסוננות/מנורמלות לפני תצוגה | suggested replacement is much longer than the original phrase slot
3,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00197,pages/learning/parent-report-detailed.js,641,detailed_report,general,,,,"המנוע מזהה שבתקופה האחרונה היו פחות הצלחות, ורוצה שההורה ישים לב בלי להיבהל.","דוח מפורט — כללי
לפני החלפה: בסיכום המנהלים (מגמות מרכזיות), שורת מגמה עלולה להציג: «ירידה מבוססת».","דוח מפורט — כללי
אחרי החלפה: בסיכום המנהלים (מגמות מרכזיות), שורת מגמה עלולה להציג: «נראית ירידה שחוזרת ביותר מתרגול אחד».",medium,המחרוזת מופיעה גם ברשימת מילות מגמה שמסוננות/מנורמלות לפני תצוגה | suggested replacement is much longer than the original phrase slot
4,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-01693,utils/parent-report-language/parent-facing-normalize-he.js,176,language_layer,guard_normalization,,,,"המנוע משווה את התוצאות לאורך זמן, ולא מסתמך רק על תרגול אחד.","שכבת ניסוח — שכבת ניקוי ניסוח
אזור בדוח: guard_normalization
לפני החלפה: מגמת הדיוק","שכבת ניסוח — שכבת ניקוי ניסוח
אזור בדוח: guard_normalization
אחרי החלפה: שינוי בדיוק לאורך זמן",medium,suggested replacement is much longer than the original phrase slot
5,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-01766,utils/parent-report-language/subject-withhold-summary-he.js,20,language_layer,topic_card,,שברים,,המנוע מנסה לתת להורה פעולה פשוטה שאפשר לעשות בבית בלי לחץ.,"שכבת ניסוח — כרטיס נושא | נושא לדוגמה: שברים
אזור בדוח: topic_card
לפני החלפה: unstable: במקצוע רואים תשובות פחות עקביות בין נושאים — כדאי לחזור על בסיס קצר ולבדוק יציבות לפני מסקנה חדה.","שכבת ניסוח — כרטיס נושא | נושא לדוגמה: שברים
אזור בדוח: topic_card
אחרי החלפה: unstable: התשובות אינן עקביות בכל הנושאים. כדאי לחזור לתרגול קצר ולבדוק שוב אחרי כמה שאלות נוספות.",medium,Parent language/template layer (*He fields)
6,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-01812,utils/parent-report-language/v2-parent-copy.js,108,language_layer,general,,,,"המנוע מנסה לבדוק אם יש מספיק סימנים כדי להתקדם, אבל בלי למהר לפני שההצלחה יציבה.","שכבת ניסוח — כללי
לפני החלפה: היעד לשבוע הקרוב: יותר תרגול עקבי ורגוע, ואז אפשר לקבוע יעד קידום ברור.","שכבת ניסוח — כללי
אחרי החלפה: השבוע כדאי לשמור על תרגול קצר וקבוע, ואז לבדוק אם מתאים להתקדם בהמשך.",medium,Parent language/template layer (*He fields)
7,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-01863,utils/parent-report-ui-explain-he.js,49,report_builder,general,,,,"המנוע מזהה שבתקופה האחרונה היו פחות הצלחות, ורוצה שההורה ישים לב בלי להיבהל.","בונה דוח — כללי
לפני החלפה: down: בירידה","בונה דוח — כללי
אחרי החלפה: down: יש פחות הצלחות לאחרונה",high,suggested replacement is much longer than the original phrase slot
8,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-01900,utils/parent-report-ui-explain-he.js,240,report_builder,general,,,,"המנוע מזהה שבתקופה האחרונה היו פחות הצלחות, ורוצה שההורה ישים לב בלי להיבהל.","בונה דוח — כללי
לפני החלפה: regression signal: נראית ירידה לאחרונה — שווה לשים לב בשבוע הקרוב","בונה דוח — כללי
אחרי החלפה: regression signal: בתקופה האחרונה היו פחות הצלחות, ולכן כדאי לעקוב בזהירות — שווה לשים לב בשבוע הקרוב",high,Exported builder/UI function: LEARNING_STAGE_LABEL_HE
9,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-01956,utils/parent-report-ui-explain-he.js,426,report_builder,general,,,,"המנוע מנסה לבדוק אם יש מספיק סימנים כדי להתקדם, אבל בלי למהר לפני שההצלחה יציבה.","בונה דוח — כללי
לפני החלפה: structured recheck: בדיקה מסודרת לפני החמרה או עלייה ברמה","בונה דוח — כללי
אחרי החלפה: structured recheck: כדאי לבדוק שוב לפני שמשנים את רמת הקושי.",high,Exported builder/UI function: RECALIBRATION_NEED_LABEL_HE
10,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-01962,utils/parent-report-ui-explain-he.js,436,report_builder,general,,,,"המנוע מנסה לבדוק אם יש מספיק סימנים כדי להתקדם, אבל בלי למהר לפני שההצלחה יציבה.","בונה דוח — כללי
לפני החלפה: recheck before advancing: בדיקה קצרה נוספת לפני העלאת קושי או עלייה ברמה","בונה דוח — כללי
אחרי החלפה: recheck before advancing: כדאי לעשות בדיקה קצרה נוספת לפני שמעלים את רמת הקושי.",high,Exported builder/UI function: NEXT_SUPPORT_ADJUSTMENT_LABEL_HE
11,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-02072,utils/parent-report-ui-explain-he.js,617,report_builder,general,,,,"המנוע מנסה לבדוק אם יש מספיק סימנים כדי להתקדם, אבל בלי למהר לפני שההצלחה יציבה.","בונה דוח — כללי
לפני החלפה: high: מוכנות גבוהה יחסית — עדיין עם תנאים לפני הפחתת עזרה או עלייה ברמה","בונה דוח — כללי
אחרי החלפה: high: נראה שיש התקדמות, אבל כדאי לוודא זאת לפני שמפחיתים עזרה או מעלים את רמת הקושי.",high,Exported builder/UI function: GATE_READINESS_LABEL_HE
12,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-02323,utils/topic-next-step-phase2.js,1194,report_builder,general,,,,"המנוע מנסה לבדוק אם יש מספיק סימנים כדי להתקדם, אבל בלי למהר לפני שההצלחה יציבה.","בונה דוח — כללי
לפני החלפה: חשש מקידום מוקדם","בונה דוח — כללי
אחרי החלפה: כדאי לא להתקדם מהר מדי",medium,Exported builder/UI function: buildWhyThisRecommendationHe
13,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00072,components/parent-report-detailed-surface.jsx,446,detailed_report,general,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"דוח מפורט — כללי
כותרת בדוח: האם הקושי רחב או מצומצם?
לפני החלפה: האם הקושי רחב או מצומצם","דוח מפורט — כללי
כותרת בדוח: האם הקושי רחב או מצומצם?
אחרי החלפה (ללא שינוי מוצע): האם הקושי רחב או מצומצם",high,
14,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00160,lib/parent-server/parent-report-parent-facing.server.js,128,server_parent_facing,insights,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"שרת / הורה — מה חשוב לדעת
אזור בדוח: insights
לפני החלפה: יש עדיין מעט נתוני תרגול — מומלץ לשמור על תרגול קצר וקבוע.","שרת / הורה — מה חשוב לדעת
אזור בדוח: insights
אחרי החלפה (ללא שינוי מוצע): יש עדיין מעט נתוני תרגול — מומלץ לשמור על תרגול קצר וקבוע.",medium,Parent language/template layer (*He fields)
15,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00309,pages/learning/parent-report.js,2032,short_report,data_health,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"דוח קצר — מצב נתונים
לפני החלפה: יש נתוני תרגול בתקופה שנבחרה, אך עדיין אין מספיק בסיס ברור מהתרגולים כדי לזהות נושא דחוף אחד — כדאי להמשיך בתרגול ולעקוב שוב לאחר מכן.","דוח קצר — מצב נתונים
אחרי החלפה: יש נתוני תרגול בתקופה שנבחרה, אך עדיין אין מספיק מידע מספיק ברור מהתרגולים כדי לזהות נושא דחוף אחד — כדאי להמשיך בתרגול ולעקוב שוב לאחר מכן.",medium,
