internalTag,subjects,taxonomyIds,topicsOrSubskillsHe,evidenceSource,classifierProducer,producerActive,hasTaxonomy,parentSafeLabelHe,canPrimaryFinding,canSecondaryFinding,canFactualOnly,alwaysBlocked,consistentStrongNoTaxonomy,riskInternalTagExposure,notes
add_instead_of_mul,math,M-10,יחס|הופכיות,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
add_instead_of_sub,math,M-09,חיסור|השלמה לעשר,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
agreement_error,english,E-02,זמנים|סממן זמן,distractor_family,english-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
angle_range_error,geometry,G-02,מדידה|קריאת מד זווית,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
animal_classification_error,science,S-08,היגיון|מקור לטענה,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
area_formula_error,geometry,G-03,מקבילית|גובה,misconception_tag,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
article_error,english,E-04,התאמה|כינוי לנושא,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
body_system_confusion,science,S-03,מערכות|מיקום/זרימה,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
borrow_error,math,M-09,חיסור|השלמה לעשר,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
calculation_error,,,,,,false,false,הטעות נובעת מחישוב או מסדר פעולות,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
calculation_near_miss,,,,,math-numeric-classifier,true,false,,false,false,false,true,stays_generic_topic_finding_label_unknown,true,producer_without_taxonomy_rule|no_parent_safe_hebrew
calculation_off_by_one,math,M-06,מקום|עיגול/השוואה,misconception_tag,math-numeric-classifier,true,true,טעות חישוב של סטייה ב-1,true,true,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
careless_error,,,,,,false,false,נראות טעויות ביצוע קטנות שחוזרות כשממהרים,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
careless_or_attention,,,,,,false,false,נראות טעויות ביצוע קטנות שחוזרות כשממהרים,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
careless_pattern,,,,,,false,false,נראות טעויות ביצוע קטנות שחוזרות כשממהרים,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
carry_error,math,M-02,חיבור|נשיאה,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
cause_effect_error,history,HI-03,סיבה ותוצאה,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
character_role_error,history,HI-05,תפקיד|דמויות ותפקידן,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
chronology_error,history,HI-02,רצף|ציר זמן ורצף אירועים,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
circle_perimeter_compute,geometry,G-06,היקף|המרת יחידות,misconception_tag,mcq-distractor-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
citizenship_error,moledet-geography,MG-03,אזרחות|זכות/חובה,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
classification_confusion,science,S-01,סיווג|תכונה מול תהליך,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
classification_error,science,S-01,סיווג|תכונה מול תהליך,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
collocation_error,english,E-01,הקשר|collocation,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
column_arithmetic_error,,,,,math-numeric-classifier,true,false,,false,false,false,true,stays_generic_topic_finding_label_unknown,true,producer_without_taxonomy_rule|no_parent_safe_hebrew
column_carry_error,math,M-02,חיבור|נשיאה,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
common_denominator_error,math,M-05,חיבור|המראה,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
