category,engine_action_or_state,source_file,exact_condition_in_code,input_fields,output_field,parent_text_template_now,example_rendered_text,positive_or_negative_or_neutral,shown_in_short_screen,shown_in_short_pdf,shown_in_detailed_screen,shown_in_detailed_pdf,hidden_or_truncated,generic_or_specific,can_duplicate_with,can_conflict_with,notes_for_hebrew_rewrite
evidence_gate,no_data,lib/learning/evidence-quality.js,classifyDataSufficiency: n===0 → NO_DATA,"summary.totalAnswers, diagnosticAnswers",meta.evidenceQuality.dataSufficiency,(suppresses strong diagnosis),אין תשובות אבחוניות — לא מוצגות מסקנות חזקות,neutral,no,no,partial,partial,gates downstream copy,specific,activity_gap_zero,server weak-subject insight,Distinguish zero activity vs zero diagnostic
evidence_gate,insufficient_data,lib/learning/evidence-quality.js,n<=INSUFFICIENT_MAX_DIAGNOSTIC → INSUFFICIENT,diagnosticAnswers count,dataSufficiency,(hedged only),יש עדיין מעט נתוני תרגול — מומלץ לשמור על תרגול קצר וקבוע.,neutral,yes,yes,no,no,patternDiagnostics suppressed,specific,server thin insight,strong topic line,Student-level hedge
evidence_gate,preliminary_signal,lib/learning/evidence-quality.js,n<SUPPORTED_MIN && !recurrenceMet → PRELIMINARY,"diagnosticAnswers, recurrenceMet",dataSufficiency,(tentative conclusions),ב{subject} נראה קושי יחסי לפי התרגולים — כדאי לעקוב אחרי עוד תרגול קצר.,neutral,yes,yes,no,no,strong diagnosis blocked,specific,insufficient_data,supported_diagnosis same topic,Use tentative wording
evidence_gate,supported_diagnosis,lib/learning/evidence-quality.js,n>=SUPPORTED_MIN && recurrenceMet → SUPPORTED,"diagnosticAnswers, recurrenceMet",allowsStrongParentDiagnosisAtStudent=true,נראה שיש קושי ב{subject}...,"נראה שיש קושי במתמטיקה, בעיקר לפי התרגולים האחרונים.",negative,yes,yes,no,no,none,specific,engine topic insight,preliminary same subject,Server path; may be overridden by engine
evidence_gate,no_recurrence,lib/learning/evidence-quality.js,reasonCode: PRELIMINARY && !recurrenceMet → no_recurrence,recurrenceMet,evidenceReasonCode,(blocks strong pattern claims),אין עדיין מספיק מידע כדי לזהות סוג טעות קבוע,neutral,yes,yes,no,no,fake recurring mistake blocked,specific,insufficient_mistake_evidence,recurring mistakes insight,Critical honesty gate
evidence_gate,too_few_questions,lib/learning/evidence-quality.js,reasonCode: INSUFFICIENT → too_few_questions,diagnosticAnswers,evidenceReasonCode,(topic insights withheld),עדיין מוקדם לקבוע כיוון לפי כמות השאלות הנוכחית,neutral,partial,partial,no,no,confidence badge low,specific,min_questions_low_confidence,knowledge_gap strong,
evidence_gate,allowsStrongParentDiagnosisAtTopic,lib/learning/evidence-quality.js,allowsStrongParentDiagnosisAtTopic: suff===SUPPORTED && topic gates,"payload, subject, topicKey",topic copy authority,(enables specific topic lines),כדאי לשים לב ל{topic} — זה נושא שחוזר בתרגולים.,negative,yes,yes,no,no,none,specific,engine rowNeedsAttention,insufficient_dependency_evidence,
evidence_gate,shouldSuppressClientPatternDiagnostics,lib/learning/evidence-quality.js,NO_DATA||INSUFFICIENT → suppress pattern block,dataSufficiency,patternDiagnostics hidden,(no pattern section),(empty),neutral,hidden,hidden,hidden,hidden,entire patternDiagnostics,specific,no_data,pattern explain row,
server_insight,no_activity,lib/parent-server/parent-report-parent-facing.server.js,totalAnswers===0 && totalSessions===0,"summary.totalAnswers, totalSessions",parentFacing.insights[],לא הייתה פעילות תרגול בתקופה האחרונה — כדאי לעודד התחלה קצרה ונעימה.,לא הייתה פעילות תרגול בתקופה האחרונה — כדאי לעודד התחלה קצרה ונעימה.,neutral,yes,yes,no,no,none,generic,activity_gap,engine no_urgent,Overridden when engine rows present
server_insight,inactive_7_days,lib/parent-server/parent-report-parent-facing.server.js,inactiveDays>=INACTIVITY_DAYS(7),dailyActivity last date,insights[],לא הייתה פעילות לאחרונה — מומלץ לחזור לתרגול קצר כדי לשמור על רצף למידה.,לא הייתה פעילות לאחרונה — מומלץ לחזור לתרגול קצר כדי לשמור על רצף למידה.,neutral,yes,yes,no,no,none,generic,no_activity,,
