id,output_sentence_or_template,file,line,source_function,input_data,gating_condition,fallback_condition,audience,visible_surface,risk,severity,recommendation
S001,"אתה עוזר הורים מקצועי. תענה בעברית בלבד.","utils/parent-copilot/llm-orchestrator.js",215,"buildGroundedPrompt","parent utterance + truthPacket FACTS_JSON","LLM rollout gate enabled","deterministic composer when LLM disabled/fails","parent","Copilot chat","LLM can still paraphrase beyond exact engine wording","MEDIUM","Keep validator/fallback mandatory; add parity tests for LLM vs deterministic."
S002,"השתמש רק בעובדות מה-FACTS_JSON. אסור להמציא עובדות שאינן בו.","utils/parent-copilot/llm-orchestrator.js",216,"buildGroundedPrompt","FACTS_JSON: observation interpretation action uncertainty derivedLimits","Always in Copilot LLM prompt","fallback-templates uses contract slots only","parent","Copilot chat","Prompt is safe but correctness depends on packet completeness","LOW","Audit packet fields for all intents before enabling LLM broadly."
S003,"אם cannotConcludeYet=false — הדגש שאין סיבה לדאגה גדולה.","utils/parent-copilot/llm-orchestrator.js",186,"buildGroundedPrompt","parentIntent=is_intervention_needed + derivedLimits.cannotConcludeYet","Only intervention-needed intent","validator blocks clinical diagnosis but not all over-reassurance","parent","Copilot chat","May over-reassure when data shows real non-clinical learning risk","HIGH","Change owner policy: say no clinical diagnosis, not no concern."
S004,"אסור לכלול בלוק next_step.","utils/parent-copilot/llm-orchestrator.js",177,"buildGroundedPrompt","recommendationEligible=false or RI0","what_to_do intent with ineligible recommendation","validateLlmDraft drops next_step when not eligible","parent","Copilot chat","Meaning block may still contain practical advice wording","MEDIUM","Validate imperative practice advice in all block types, not only next_step."
S005,"אפשר לשאול כאן שאלות על הדוח והתקדמות הלמידה שמופיעה בו.","utils/parent-copilot/llm-orchestrator.js",225,"buildGroundedPrompt","off-topic utterance","Off-topic system rule","No extra content allowed","parent","Copilot chat","Low; boundary safe","LOW","Keep exact-match boundary regression."
S006,"על סמך הדוח הזה אי אפשר לקבוע אבחנה או להצמיד תווית קלינית.","utils/parent-copilot/answer-composer.js",17,"buildClinicalBoundaryAnswerDraft","clinical/diagnostic question","intent=clinical_boundary","Fixed deterministic boundary","parent","Copilot chat","Safe boundary; should not be modified by AI","LOW","Keep as composed fixed copy and validator fingerprint."
S007,"הדוח יכול להצביע על תחומים שמצביעים על נושאים שכדאי לחזק או לבדוק שוב, אבל הוא לא מחליף אבחון מקצועי.","utils/parent-copilot/answer-composer.js",19,"buildClinicalBoundaryAnswerDraft","clinical/diagnostic question","intent=clinical_boundary","Fixed deterministic boundary","parent","Copilot chat","Hebrew repetition: תחומים שמצביעים על נושאים","LOW","Owner copy polish; not launch blocking."
S008,"הדוח מתבסס על תרגול הילד בלבד ואינו משווה לילדים אחרים בכיתה.","utils/parent-copilot/question-classifier.js",85,"PEER_COMPARISON_RESPONSE_HE","peer-comparison utterance","Peer comparison patterns matched","Fixed deterministic boundary","parent","Copilot chat","Safe; prevents unsupported social comparison","LOW","Keep route before LLM."
S009,"לא הבנתי בדיוק על מה השאלה. אפשר לשאול כאן שאלות על הדוח...","utils/parent-copilot/question-classifier.js",88,"AMBIGUOUS_RESPONSE_HE","ambiguous utterance","Classifier ambiguous bucket","Fixed fallback","parent","Copilot chat","Safe but generic","LOW","No action."
S010,"ב{displayName} יש עדיין מעט מדי תרגול בתקופה שנבחרה כדי לדעת איך זה באמת הולך.","utils/contracts/narrative-contract-v1.js",152,"buildObservationSlot","q<=0 displayName","No/zero topic evidence","Variant selected by seed","parent","Copilot/report narrative","Correctly says insufficient data","LOW","Keep exact insufficiency wording."
