child,row,before,after
AAA1,1,"בעברית נראית תמונה חיובית יחסית: 90 שאלות ודיוק 96%. כדי להבין אם זו שליטה יציבה, כדאי לבדוק גם את הפירוט לפי נושאים.","בעברית — «קריאה - כיתה א׳»: נפתרו 90 שאלות, והדיוק היה 96%. שיעור הטעויות נמוך, ולכן הנושא נראה יציב כרגע. מומלץ לשמר אותו בתרגול קצר, ולא להסיק מזה שכל המקצוע כבר יציב."
AAA1,explain,"","מה זוהה: מיקוד ב«אוצר מילים - כיתה א׳». הנתונים: 55 שאלות, דיוק 85%, 15% טעויות. דפוס: אין עדיין מספיק דוגמאות כדי לזהות טעות שחוזרת באופן ברור. משמעות: יש נקודת ידע בנושא שעדיין לא יציבה. הדוח מזהה זאת לפי הדיוק ושיעור הטעויות, אבל לא מציג תת־בעיה פנימית אם המנוע לא זיהה אותה בפ"
AAA2,1,"בעברית — «קריאה»: נפתרו 61 שאלות, הדיוק היה 34%, ושיעור הטעויות היה 66%. אין עדיין מספיק דוגמאות כדי לזהות טעות שחוזרת באופן ברור. עדיין אין מספיק מידע כדי לקבוע מה מקור הקושי. מה לתרגל: לבצע עוד כמה שאלות באותו נושא ובאותה רמה, כדי שהדוח יוכל לזהות דפוס אמין יותר.","בעברית — «קריאה - כיתה א׳»: נפתרו 61 שאלות, הדיוק היה 34%, ושיעור הטעויות היה 66%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA2,explain,"","מה זוהה: מיקוד ב«קריאה - כיתה א׳». הנתונים: 61 שאלות, דיוק 34%, 66% טעויות. דפוס: בלבול בסדר הפעולות או בשלבי הפתרון. משמעות: יש נקודת ידע בנושא שעדיין לא יציבה. הדוח מזהה זאת לפי הדיוק ושיעור הטעויות, אבל לא מציג תת־בעיה פנימית אם המנוע לא זיהה אותה בפועל. הדיוק הנמוך חוזר מספיק"
AAA3,1,"בתקופה שנבחרה יש תרגול, אבל המנוע לא זיהה נושא אחד שדורש התערבות דחופה. כדאי להמשיך בתרגול קצר וקבוע ולבדוק שהיציבות נשמרת גם בהמשך.","בעברית — «קריאה - כיתה ב׳»: נפתרו 76 שאלות, הדיוק היה 68%, ושיעור הטעויות היה 32%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA3,explain,"","מה זוהה: מיקוד ב«שטח - כיתה ב׳». הנתונים: 111 שאלות, דיוק 77%, 23% טעויות. דפוס: אין עדיין מספיק דוגמאות כדי לזהות טעות שחוזרת באופן ברור. משמעות: יש נקודת ידע בנושא שעדיין לא יציבה. הדוח מזהה זאת לפי הדיוק ושיעור הטעויות, אבל לא מציג תת־בעיה פנימית אם המנוע לא זיהה אותה בפועל. א"
AAA4,1,"במדעים נראית תמונה חיובית יחסית: 48 שאלות ודיוק 85%. כדי להבין אם זו שליטה יציבה, כדאי לבדוק גם את הפירוט לפי נושאים.","במתמטיקה — «חיבור - כיתה ב׳»: נפתרו 136 שאלות, הדיוק היה 38%, ושיעור הטעויות היה 63%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA4,2,"במתמטיקה — «חיבור»: נפתרו 136 שאלות, הדיוק היה 38%, ושיעור הטעויות היה 62%. אין עדיין מספיק דוגמאות כדי לזהות טעות שחוזרת באופן ברור. עדיין אין מספיק מידע כדי לקבוע מה מקור הקושי. מה לתרגל: לבצע עוד כמה שאלות באותו נושא ובאותה רמה, כדי שהדוח יוכל לזהות דפוס אמין יותר.","באנגלית — «אוצר מילים - כיתה ב׳»: נפתרו 59 שאלות, הדיוק היה 68%, ושיעור הטעויות היה 32%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA4,explain,"","מה זוהה: מיקוד ב«חיבור - כיתה ב׳». הנתונים: 136 שאלות, דיוק 38%, 63% טעויות. דפוס: בלבול בסדר הפעולות או בשלבי הפתרון. משמעות: יש נקודת ידע בנושא שעדיין לא יציבה. הדוח מזהה זאת לפי הדיוק ושיעור הטעויות, אבל לא מציג תת־בעיה פנימית אם המנוע לא זיהה אותה בפועל. הדיוק הנמוך חוזר מספי"
AAA5,1,"בגאומטריה נראית תמונה חיובית יחסית: 278 שאלות ודיוק 82%. כדי להבין אם זו שליטה יציבה, כדאי לבדוק גם את הפירוט לפי נושאים.","במדעים — «גוף האדם - כיתה ג׳»: נפתרו 43 שאלות, הדיוק היה 60%, ושיעור הטעויות היה 40%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA5,2,"","במולדת וגאוגרפיה — «גאוגרפיה - כיתה ג׳»: נפתרו 53 שאלות, הדיוק היה 66%, ושיעור הטעויות היה 34%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA5,explain,"","מה זוהה: מיקוד ב«שטח - כיתה ג׳». הנתונים: 278 שאלות, דיוק 82%, 18% טעויות. דפוס: אין עדיין מספיק דוגמאות כדי לזהות טעות שחוזרת באופן ברור. משמעות: יש נקודת ידע בנושא שעדיין לא יציבה. הדוח מזהה זאת לפי הדיוק ושיעור הטעויות, אבל לא מציג תת־בעיה פנימית אם המנוע לא זיהה אותה בפועל. א"
AAA6,1,"במדעים — «האדם»: נפתרו 138 שאלות, הדיוק היה 49%, ושיעור הטעויות היה 51%. אין עדיין מספיק דוגמאות כדי לזהות טעות שחוזרת באופן ברור. עדיין אין מספיק מידע כדי לקבוע מה מקור הקושי. מה לתרגל: לבצע עוד כמה שאלות באותו נושא ובאותה רמה, כדי שהדוח יוכל לזהות דפוס אמין יותר.","במדעים — «גוף האדם - כיתה ג׳»: נפתרו 138 שאלות, הדיוק היה 49%, ושיעור הטעויות היה 51%. דפוס הטעות הבולט: בלבול מושגי שחוזר בנושא. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA6,2,"","במתמטיקה — «חיבור - כיתה ג׳»: נפתרו 76 שאלות, הדיוק היה 54%, ושיעור הטעויות היה 46%. דפוס הטעות הבולט: בלבול מושגי שחוזר בנושא. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA6,explain,"","מה זוהה: מיקוד ב«גוף האדם - כיתה ג׳». הנתונים: 138 שאלות, דיוק 49%, 51% טעויות. דפוס: בלבול מושגי שחוזר בנושא. משמעות: יש נקודת ידע בנושא שעדיין לא יציבה. הדוח מזהה זאת לפי הדיוק ושיעור הטעויות, אבל לא מציג תת־בעיה פנימית אם המנוע לא זיהה אותה בפועל. הדיוק הנמוך חוזר מספיק כדי לח"
