child,range,subject,A,B,C,D,verdict
AAA1,one_day,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA2,one_day,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA3,one_day,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA4,one_day,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA5,one_day,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA6,one_day,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA7,one_day,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA8,one_day,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA9,one_day,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA10,one_day,english,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA11,one_day,hebrew,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA12,one_day,science,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA1,one_week,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA2,one_week,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA3,one_week,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA4,one_week,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
