row_number,id,audience,source_file,source_line,surface,section,copy_type,meaning_plain_he,before_in_context,context_confidence,notes
1,SG-HE-00614,mixed_or_unclear,data/legal/sitePolicies.he.js,66,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: ילדים נכנסים עם שם משתמש וקוד PIN שמסופק על ידי ההורה.",high,
2,SG-HE-00618,mixed_or_unclear,data/legal/sitePolicies.he.js,75,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: פרטי תלמיד: שם, כיתה, פרטי כניסה (שם משתמש ו-PIN).",high,
3,SG-HE-00308,mixed_or_unclear,data/help-center/content/parents.js,102,help_center,help,heading,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: heading
כפי שמופיע: מה זה PIN, מתי הוא מוצג פעם אחת, ואיך מאפסים.",high,
4,SG-HE-00388,mixed_or_unclear,data/help-center/content/parents.js,237,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: PIN שגוי, חשבון נעול וניקוי דפדפן.",high,
5,SG-HE-00393,mixed_or_unclear,data/help-center/content/parents.js,243,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: PIN שגוי — בקשו מההורה קוד חדש",high,
6,SG-HE-02133,parent,pages/parent/dashboard.js,255,dashboard,general,other,טקסט ממשק כללי שרואה המשתמש.,"בלוח בקרה
אזור: general
סוג: other
כפי שמופיע: בלוח בקרה: יש להזין PIN חדש בארבע ספרות",high,
7,SG-HE-00307,mixed_or_unclear,data/help-center/content/parents.js,101,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: קוד PIN ופרטי כניסה לתלמיד",high,
8,SG-HE-00564,mixed_or_unclear,data/help-center/videos-manifest.json,820,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: קוד PIN ופרטי כניסה לתלמיד",high,
9,SG-HE-02130,parent,pages/parent/dashboard.js,202,dashboard,general,other,טקסט ממשק כללי שרואה המשתמש.,"בלוח בקרה
אזור: general
סוג: other
כפי שמופיע: בלוח בקרה: יש להזין שם משתמש ו-PIN",high,
10,SG-HE-02152,parent,pages/parent/dashboard.js,558,dashboard,form,label,טקסט ממשק כללי שרואה המשתמש.,"בלוח בקרה
אזור: form
סוג: label
כפי שמופיע: בלוח בקרה: PIN חדש (איפוס / שינוי)",high,
11,SG-HE-01067,student,pages/api/student/login.js,22,login,error,error_message,הודעת שגיאה למשתמש.,"במסך כניסה
אזור: error
סוג: error_message
כפי שמופיע: שם משתמש או PIN שגויים",high,
12,SG-HE-00408,mixed_or_unclear,data/help-center/content/students.js,21,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: כניסה עם שם וקוד PIN.",high,
13,SG-HE-00315,mixed_or_unclear,data/help-center/content/parents.js,111,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: הודעה עם קוד PIN חדש",high,
14,SG-HE-02134,parent,pages/parent/dashboard.js,283,dashboard,error,error_message,הודעת שגיאה למשתמש.,"בלוח בקרה
אזור: error
סוג: error_message
כפי שמופיע: בלוח בקרה: שינוי ה-PIN נכשל",high,
15,SG-HE-00062,mixed_or_unclear,components/Layout.js,23,general_component,form,label,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: form
סוג: label
כפי שמופיע: סקירת מנוע",high,
16,SG-HE-00311,mixed_or_unclear,data/help-center/content/parents.js,105,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: מה זה PIN?",high,
17,SG-HE-00313,mixed_or_unclear,data/help-center/content/parents.js,109,help_center,help,heading,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: heading
כפי שמופיע: מה זה PIN?",high,
18,SG-HE-02159,parent,pages/parent/dashboard.js,615,dashboard,form,label,טקסט ממשק כללי שרואה המשתמש.,"בלוח בקרה
אזור: form
סוג: label
כפי שמופיע: בלוח בקרה: PIN לתלמיד",high,
19,SG-HE-00608,mixed_or_unclear,data/legal/sitePolicies.he.js,50,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: מדיניות זו מתארת בקצרה אילו נתונים נאספים באתר LEO KIDS, למה הם משמשים, ומהן זכויותיכם. האתר מופעל בהתאם לציפיות ישראליות ומוצג בעברית.",high,
20,SG-HE-00673,mixed_or_unclear,data/legal/sitePolicies.he.js,197,policy,policy,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: policy
סוג: heading
כפי שמופיע: במדיניות/הסכמה: תנאים אלה מסדירים את השימוש באתר LEO KIDS. השירות הוא כלי לימודי ומעקב — לא תחליף לייעוץ חינוכי מקצועי.",high,
21,SG-HE-00724,mixed_or_unclear,data/legal/sitePolicies.he.js,323,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: אנו שואפים לעמוד בדרישות נגישות רלוונטיות בישראל, ובין היתר בתקן ישראלי ת\""י 5568 המבוסס על WCAG 2.x.",high,
22,SG-HE-00831,mixed_or_unclear,data/legal/termsPrivacyAcceptanceContent.js,36,policy,policy,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: policy
סוג: heading
כפי שמופיע: במדיניות/הסכמה: כדי להמשיך לשימוש באזור ההורים, יש לקרוא ולאשר את תנאי השימוש ואת מדיניות הפרטיות של LEO KIDS.",high,
23,SG-HE-00777,mixed_or_unclear,data/legal/sitePolicies.he.js,460,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: «שאלו על הדוח» (Copilot) ותובנות AI בדוח — עשויים לסייע להסביר דוחות, מגמות והמלצות לימודיות.",high,
24,SG-HE-00650,mixed_or_unclear,data/legal/sitePolicies.he.js,137,policy,help,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: help
סוג: heading
כפי שמופיע: במדיניות/הסכמה: האתר עשוי להשתמש ביכולות AI/Copilot להסבר דוחות והמלצות. פירוט מלא בעמוד גילוי שימוש ב-AI.",high,
25,SG-HE-00143,mixed_or_unclear,components/dev-student-simulator/CustomBuilderPanel.jsx,44,general_component,general,heading,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: heading
כפי שמופיע: לחצו לפתיחת הטבלה. עדכון (Apply) רק מסומני פעיל עם שאלות > 0 — לא מחייב בחירה בכל מקצוע.",high,
26,SG-HE-00607,mixed_or_unclear,data/legal/sitePolicies.he.js,48,policy,policy,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: policy
סוג: heading
כפי שמופיע: במדיניות/הסכמה: מדיניות פרטיות בעברית לאתר LEO KIDS — נתוני תרגול, דוחות להורים, עוגיות ופרסום עתידי.",high,
27,SG-HE-01284,mixed_or_unclear,pages/learning/english-master.js,268,learning_screen,warning,heading,טקסט בממשק הלמידה.,"במסך תרגול
אזור: warning
סוג: heading
כפי שמופיע: כתוב באנגלית את המילה ""…"". שים לב לאיות (spelling) של כל אות.",medium,placeholders substituted
28,SG-HE-00642,mixed_or_unclear,data/legal/sitePolicies.he.js,119,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: היום — עוגיות/אחסון פונקציונלי: התחברות תלמיד (session), התחברות הורה (Supabase).",high,
29,SG-HE-00717,mixed_or_unclear,data/legal/sitePolicies.he.js,306,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: הצהרת נגישות בעברית לאתר LEO KIDS — מחויבות נגישות, דיווח על בעיות ויצירת קשר.",high,
30,SG-HE-00036,mixed_or_unclear,components/InstallAppPrompt.js,78,general_component,general,heading,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: heading
כפי שמופיע: אנא השתמש בדפדפן Chrome או Edge להתקנה אוטומטית, או עקוב אחר ההוראות המוצגות.",high,
