scenarioId,totalQuestions,correctAnswers,totalErrors,accuracyPct,patternTag,patternCount,patternRatioOfQuestions,patternRatioOfErrors,sessions,days,sameSessionOnly,crossSession,crossDay,observedPatternLevel,evidenceStrength,taxonomyId,classificationState,patternLayer,engineDecision,engineDecisionAuthority,adcAction,blockPatternClaim,patternKey,patternLabel,parentSafeLabelHe,enrichApplied,parentFacingText,badge,visualVariant,cardColorHint,category,clearWeak,detectedPattern,appearsRegular,appearsDetailed,appearsShort
q1_w0_allSame,1,1,0,100,mt:calculation_off_by_one,0,0,0,1,1,true,false,false,none,small_sample,,unclassified_no_de2_unit,,insufficient_data,insufficient_data,collect_more_evidence,true,,,טעות חישוב של סטייה ב-1,false,"בנושא audit_topic יש כרגע מעט נתונים. ככל שיצטבר תרגול נוסף, נוכל להציג תמונה מדויקת יותר.",מעט שאלות - עדיין אין מספיק נתונים,neutral,bg-slate-500/10 border border-slate-400/35,A_insufficient_info,false,,true,true,true
q1_w1_allSame,1,0,1,0,mt:calculation_off_by_one,1,0,0,1,1,true,false,false,none,small_sample,,unclassified_no_de2_unit,,insufficient_data,insufficient_data,collect_more_evidence,true,,,טעות חישוב של סטייה ב-1,false,"בנושא audit_topic יש כרגע מעט נתונים. ככל שיצטבר תרגול נוסף, נוכל להציג תמונה מדויקת יותר.",מעט שאלות - עדיין אין מספיק נתונים,neutral,bg-slate-500/10 border border-slate-400/35,A_insufficient_info,false,,true,true,true
q2_w0_allSame,2,2,0,100,mt:calculation_off_by_one,0,0,0,1,1,true,false,false,none,small_sample,,unclassified_no_de2_unit,,insufficient_data,insufficient_data,collect_more_evidence,true,,,טעות חישוב של סטייה ב-1,false,בנושא audit_topic נפתרו 2 שאלות. עדיין מוקדם לקבוע אם קיים דפוס שחוזר בנושא.,מעט שאלות - עדיין אין מספיק נתונים,neutral,bg-slate-500/10 border border-slate-400/35,A_insufficient_info,false,,true,true,true
q2_w1_allSame,2,1,1,50,mt:calculation_off_by_one,1,0,0,1,1,true,false,false,none,small_sample,,unclassified_no_de2_unit,,insufficient_data,insufficient_data,collect_more_evidence,true,,,טעות חישוב של סטייה ב-1,false,בנושא audit_topic נפתרו 2 שאלות. עדיין מוקדם לקבוע אם קיים דפוס שחוזר בנושא.,מעט שאלות - עדיין אין מספיק נתונים,neutral,bg-slate-500/10 border border-slate-400/35,A_insufficient_info,false,,true,true,true
q2_w2_allSame,2,0,2,0,mt:calculation_off_by_one,2,1,1,1,1,true,false,false,observed,small_sample,,unclassified_no_de2_unit,,insufficient_data,insufficient_data,collect_more_evidence,true,mt:calculation_off_by_one,טעות חישוב של סטייה ב-1,טעות חישוב של סטייה ב-1,false,בנושא audit_topic נפתרו 2 שאלות. עדיין מוקדם לקבוע אם קיים דפוס שחוזר בנושא.,מעט שאלות - עדיין אין מספיק נתונים,neutral,bg-slate-500/10 border border-slate-400/35,A_insufficient_info,false,,true,true,true
q3_w0_allSame,3,3,0,100,mt:calculation_off_by_one,0,0,0,1,1,true,false,false,none,small_sample,,unclassified_no_de2_unit,,insufficient_data,insufficient_data,collect_more_evidence,true,,,טעות חישוב של סטייה ב-1,false,בנושא audit_topic יש 3 שאלות. עדיין מוקדם להסיק מסקנה ברורה.,מעט שאלות - עדיין אין מספיק נתונים,neutral,bg-slate-500/10 border border-slate-400/35,A_insufficient_info,false,,true,true,true
q3_w1_allSame,3,2,1,67,mt:calculation_off_by_one,1,0,0,1,1,true,false,false,none,small_sample,,unclassified_no_de2_unit,,insufficient_data,insufficient_data,collect_more_evidence,true,,,טעות חישוב של סטייה ב-1,false,בנושא audit_topic נרשמו כמה טעויות בשאלות שנפתרו. כדאי לעבור על הטעויות ולתרגל שוב את החלקים שבהם הופיע קושי. מבוסס על 3 שאלות שנפתרו בנושא.,מעט שאלות - עדיין אין מספיק נתונים,neutral,bg-slate-500/10 border border-slate-400/35,A_insufficient_info,false,,true,true,true
q3_w2_allSame,3,1,2,33,mt:calculation_off_by_one,2,0.6667,1,1,1,true,false,false,observed,small_sample,,unclassified_no_de2_unit,,insufficient_data,insufficient_data,collect_more_evidence,true,mt:calculation_off_by_one,טעות חישוב של סטייה ב-1,טעות חישוב של סטייה ב-1,false,"בנושא audit_topic, מבוסס על 3 שאלות שנפתרו בנושא, נראה דפוס מוקדם של טעויות.",מעט שאלות - עדיין אין מספיק נתונים,neutral,bg-slate-500/10 border border-slate-400/35,A_insufficient_info,false,,true,true,true
q3_w3_allSame,3,0,3,0,mt:calculation_off_by_one,3,1,1,1,1,true,false,false,observed,small_sample,,unclassified_no_de2_unit,,insufficient_data,insufficient_data,collect_more_evidence,true,mt:calculation_off_by_one,טעות חישוב של סטייה ב-1,טעות חישוב של סטייה ב-1,false,"בנושא audit_topic, מבוסס על 3 שאלות שנפתרו בנושא, נראה דפוס מוקדם של טעויות.",מעט שאלות - עדיין אין מספיק נתונים,neutral,bg-slate-500/10 border border-slate-400/35,A_insufficient_info,false,,true,true,true
q4_w0_allSame,4,4,0,100,mt:calculation_off_by_one,0,0,0,1,1,true,false,false,none,small_sample,,unclassified_no_de2_unit,,insufficient_data,insufficient_data,collect_more_evidence,true,,,טעות חישוב של סטייה ב-1,false,בנושא audit_topic יש 4 שאלות. עדיין מוקדם להסיק מסקנה ברורה.,מעט שאלות - עדיין אין מספיק נתונים,neutral,bg-slate-500/10 border border-slate-400/35,A_insufficient_info,false,,true,true,true
