subject,grade,topic,subskill,internalTag,classifierFileFunction,tagProducedByClassifierNotInjected,producerStatus,producedVia,taxonomyId,taxonomyMinWrong,taxonomyMinOccurrenceRatio,requiredTags,parentSafeLabel,enginePrimaryLabel,exampleCorrectAnswer,exampleWrongAnswer,patternCount,totalErrors,totalQuestions,ratioOfQuestions,ratioOfErrors,sessions,days,observedPatternLevel,evidenceStrength,patternLayer,engineDecision,ADC,parentFacingText,enrichApplied,blockPatternClaim,detectedPattern
math,,מודל,רבשלבי,omitted_addend,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-08,3,0.67,omitted_addend|omitted_step|multi_step_failure|wrong_final_step|wrong_operation_wp,,קושי בחיבור בין שלבי הפתרון,77682,67900,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא מודל יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,omitted_step,math-numeric-classifier|utils/math-question-generator.js:probe-params,no,NO_VALID_FIXTURE,,M-08,3,0.67,omitted_addend|omitted_step|multi_step_failure|wrong_final_step|wrong_operation_wp,,קושי בחיבור בין שלבי הפתרון,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,multi_step_failure,math-numeric-classifier|utils/math-question-generator.js:probe-params,no,NO_VALID_FIXTURE,,M-08,3,0.67,omitted_addend|omitted_step|multi_step_failure|wrong_final_step|wrong_operation_wp,,קושי בחיבור בין שלבי הפתרון,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,wrong_final_step,math-numeric-classifier|utils/math-question-generator.js:probe-params,no,NO_VALID_FIXTURE,,M-08,3,0.67,omitted_addend|omitted_step|multi_step_failure|wrong_final_step|wrong_operation_wp,,קושי בחיבור בין שלבי הפתרון,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,,חיסור,השלמה לעשר,add_instead_of_sub,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-09,3,0.6,add_instead_of_sub|reverse_direction|operand_reversal|borrow_error,,חיבור במקום חיסור או היפוך כיוון הפעולה,-1898,67898,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא חיסור יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,operand_reversal,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,no,NO_VALID_FIXTURE,,M-09,3,0.6,add_instead_of_sub|reverse_direction|operand_reversal|borrow_error,,חיבור במקום חיסור או היפוך כיוון הפעולה,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,reverse_direction,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,no,NO_VALID_FIXTURE,,M-09,3,0.6,add_instead_of_sub|reverse_direction|operand_reversal|borrow_error,,חיבור במקום חיסור או היפוך כיוון הפעולה,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,g3,חיבור,פעולה שגויה,mul_instead_of_add,math-mcq-infer|taxonomy-rule-runtime-matrix POSITIVE_NUMERIC,yes,PASS,supplemental_classifier_TEP,M-27,3,0.6,sub_instead_of_add|mul_instead_of_add,,חיסור במקום חיבור,7,12,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא חיבור יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,,חיבור,בחירת פעולה,sub_instead_of_add,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-27,3,0.6,sub_instead_of_add|mul_instead_of_add,,חיסור במקום חיבור,25,9,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא חיבור יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,g3,כפל,פעולה שגויה,add_instead_of_mul,math-numeric-classifier|taxonomy-rule-runtime-matrix POSITIVE_NUMERIC,yes,PASS,supplemental_classifier_TEP,M-10,3,0.6,mul_instead_of_div|add_instead_of_mul|sub_instead_of_div|inverse_operation_error|wrong_operation_wp,,בחירת כפל במקום חילוק,35,12,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא כפל יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
