id,subject,component_or_flow,file,line,expression_or_text,risk_type,current_direction_handling,expected_direction_handling,severity,recommendation
RTL-MG-001,geometry,step-by-step diagrams SVG labels,components/learning/geometry/GeometryExplanationDiagram.jsx,183,"SvgText style sets direction:'ltr' for all labels/notes",hebrew_text_forced_ltr,"Global LTR on SVG text incl. Hebrew+numbers",Token-aware direction with math-only LTR and Hebrew RTL,BLOCKER,"Remove global LTR; isolate only math tokens and keep Hebrew runs RTL"
RTL-MG-002,geometry,triangle/rectangle labels with units,components/learning/geometry/GeometryExplanationDiagram.jsx,465,"""בסיס {fmtLen(b, question)}"" and similar Hebrew labels rendered via SvgText",mixed_hebrew_number_unit_reorder,Hebrew+unit string inherits LTR,Use RTL for Hebrew phrase with inner LTR isolate for number/unit,HIGH,"Split labels to Hebrew token + numeric token with explicit bidi isolation"
RTL-MG-003,geometry,solid diagrams labels,components/learning/geometry/solids/IsometricSolidView.jsx,123,"<text ... style={{ unicodeBidi:'plaintext', direction:'ltr' }}>",future_label_breakage,Any Hebrew label injected into solids renders as LTR,Direction should follow content or tokenized spans,HIGH,"Switch to content-aware direction and isolate only numeric/math fragments"
RTL-MG-004,math,question display classification,utils/student-question-display.js,40,"isEquationLikeText uses [+\-×÷*/()] but not < >",comparison_sign_not_isolated,"Comparison expressions may be treated as plain text",Treat comparison operators as equation-like and force LTR isolate,BLOCKER,"Extend regex/operator set to include < > ≤ ≥ and route to equation rendering"
RTL-MG-005,math,question display normalization,utils/student-question-display.js,64,"formatCompactExpression normalizes spacing around [+\-×÷*/=(),] only",operator_spacing_gap_for_compare,Spacing/isolation path skips < > tokens,"Normalize and isolate comparison operators same as arithmetic",HIGH,"Include < > ≤ ≥ in spacing and equation normalization pipeline"
RTL-MG-006,math+geometry,step mixed text splitter,utils/learning-mixed-hebrew-math-render.js,14,"LEARNING_MATH_RUN_RE starts from digit and numeric chains",mixed_formula_not_detected,Expressions with variables/angles/non-digit starts remain in RTL prose,"Detect math runs beyond digit-led regex (variables, degrees, inequality)",HIGH,"Add parser/tokenizer for mixed math runs instead of digit-only regex"
RTL-MG-007,math+geometry,step explanation 3-line parser,utils/learning-mixed-hebrew-math-render.js,11,"STEP_EQUATION_BODY supports only digit-op-digit ... = digit",equation_line_parse_miss,Non-canonical equations stay in mixed prose without dedicated LTR line,"Support decimals/fractions/inequalities/percent and variable forms",MEDIUM,"Broaden pattern or use robust expression parsing before rendering"
RTL-MG-008,geometry,step text highlights,components/learning/geometry/StepGeometryTextHighlights.jsx,55,"<p dir='rtl'> with inline <mark>/<span> for numeric/unit highlights",token_level_bidi_missing,No token-level bdi/dir around highlighted numeric fragments,Wrap highlighted numeric/unit tokens in LTR isolate,HIGH,"Render number/unit marks with bdi dir='ltr' and unicode-bidi:isolate"
RTL-MG-009,geometry,geometry text tokenizer,utils/learning-step-geometry-text.js,28,"number regex: /\\d+(?:\\.\\d+)?/g",limited_numeric_patterns,Ignores comma decimals/fractions/%/° and complex unit forms,Tokenize all math-sensitive numeric formats,MEDIUM,"Expand tokenizer for fractions, percent, degrees, comma-decimals, signed values"
RTL-MG-010,math,fraction step highlighting,utils/learning-step-fraction-exercise.js,36,"line split by /(\\d+\\/\\d+)/ and checks /^\\d+\\/\\d+$/",fraction_format_fragility,Only simple a/b fraction formats are recognized for highlight flow,Support additional fraction variants and separators,MEDIUM,"Handle spaces, signed fractions, unicode slash variants, and mixed numbers"
RTL-MG-011,geometry,step formula line handling,components/learning/geometry/GeometryStepLine.jsx,42,"Formula isolate only when regex sees [=×÷+\\-−] after נציב/נחשב",partial_formula_isolation,Many mixed rows stay rtl plaintext without math island,Isolate math segments in all mixed geometry lines,HIGH,"Tokenize whole line and isolate math chunks regardless of lead verb"
RTL-MG-012,math+geometry,mobile numeric keypad,lib/learning/virtual-answer-keyboard-layouts.js,79,"Compact row exposes only 0 in final row (no '-' or ',')",mobile_input_symbol_path_inconsistency,Mobile users lack direct symbols used in math entry paths,Keep symbol availability parity across keyboard variants,MEDIUM,"Add required math symbols to compact layout and keep LTR isolation per key"
