type,subject,he_name,key,output_file,notes_he,source,width,height
achievement,geometry,אלוף הצורות,achievement_geometry_shapes_champion,public/rewards/cards/achievements/geometry/achievement_geometry_shapes_champion.webp,הישג גאומטריה: צורות בסיסיות.,a_high_detail_golden_framed_fantasy_game_card_illu_1_batch_1.png,1024,1536
achievement,geometry,בלש הזוויות,achievement_geometry_angles_detective,public/rewards/cards/achievements/geometry/achievement_geometry_angles_detective.webp,"הישג גאומטריה: זוויות, מדידה וקווים.",a_highly_detailed_ornate_fantasy_illustration_sce_1_batch_1.png,1024,1536
achievement,geometry,אדריכל המצולעים,achievement_geometry_polygon_architect,public/rewards/cards/achievements/geometry/achievement_geometry_polygon_architect.webp,הישג גאומטריה: מצולעים ובנייה גאומטרית.,a_highly_detailed_fantasy_illustration_card_like_s_1_batch_1.png,1024,1536
achievement,geometry,חוקר הסימטריה,achievement_geometry_symmetry_explorer,public/rewards/cards/achievements/geometry/achievement_geometry_symmetry_explorer.webp,הישג גאומטריה: סימטריה ושיקוף.,a_highly_detailed_fantasy_illustration_style_card_1_batch_1.png,1024,1536
achievement,geometry,בונה תלת ממד,achievement_geometry_3d_builder,public/rewards/cards/achievements/geometry/achievement_geometry_3d_builder.webp,הישג גאומטריה: גופים תלת ממדיים.,a_richly_detailed_fantasy_ornate_illustration_in_a_2_batch_2.png,1024,1536
achievement,geometry,גאון השטח,achievement_geometry_area_genius,public/rewards/cards/achievements/geometry/achievement_geometry_area_genius.webp,"הישג גאומטריה: שטח, משבצות וכיסוי.",a_highly_detailed_ornate_fantasy_game_card_illu_2_batch_2.png,1024,1536
achievement,science,מדען צעיר,achievement_science_young_scientist,public/rewards/cards/achievements/science/achievement_science_young_scientist.webp,הישג מדעים: מעבדה וניסויים.,a_highly_detailed_polished_fantasy_illustration_s_3_batch_3.png,1024,1536
achievement,science,מגלה החלל,achievement_science_space_discoverer,public/rewards/cards/achievements/science/achievement_science_space_discoverer.webp,"הישג מדעים: חלל, כוכבים וטלסקופ.",highly_detailed_fantasy_sci_fi_illustration_in_a_d_1_batch_1.png,1024,1536
achievement,science,חוקר מזג האוויר,achievement_science_weather_explorer,public/rewards/cards/achievements/science/achievement_science_weather_explorer.webp,הישג מדעים: מזג אוויר ותופעות טבע.,a_highly_detailed_vibrant_fantasy_illustration_sc_3_batch_3.png,1024,1536
achievement,science,מאסטר המגנט,achievement_science_magnet_master,public/rewards/cards/achievements/science/achievement_science_magnet_master.webp,"הישג מדעים: מגנטים, כוחות ומשיכה.",a_highly_detailed_ornate_fantasy_science_illustra_3_batch_3.png,1024,1536
shop,shop,ליאו אביר,shop_knight_hero,public/rewards/cards/shop/shop_knight_hero.webp,קלף חנות: אביר גיבור.,a_highly_detailed_fantasy_card_illustration_scene_1_batch_1.png,1024,1536
shop,shop,ליאו בלש,shop_detective,public/rewards/cards/shop/shop_detective.webp,קלף חנות: בלש עם זכוכית מגדלת.,a_highly_detailed_fantasy_illustration_style_game_2_batch_2.png,1024,1536
shop,shop,ליאו שף,shop_master_chef,public/rewards/cards/shop/shop_master_chef.webp,קלף חנות: שף במטבח קסום.,a_highly_detailed_fantasy_illustration_fantasy_car_3_batch_3.png,1024,1536
