רמה,גיל,ID,כותרת,אייקון,שאלה,רמז UI,כמה לבחור,תשובות נכונות,מצב תשובה,מדף,מסיחים,כותרת מרמזת,אייקון מרמז,שאלה מרמזת,תשובות מתאימות,תשובה נוספת על המדף,מתאים לגיל,פעולה מומלצת
קל,א׳–ב׳,easy-block-sunlight,חסמו את האור,🌑,בחרו 2 חפצים אטומים שחוסמים אור,🧾 בחרו 2 חפצים,2,עץ + צמח + פחית + מסמר,"validItems רחב (4 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, כפית מתכת, מים, שמש",לא,לא,לא,כן,"כן (מים, שמש)",כן,לבדוק תשובות חלופיות
קל,א׳–ב׳,easy-can-in-water,פחית במים,🥫,בחרו 2 חפצים לבדיקת פחית במים,🧾 בחרו 2 חפצים,2,מים + פחית,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, צמח, שמש, עץ",כן,כן,כן,לא (כותרת מזכירה מים ומים בתשובה),לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
קל,א׳–ב׳,easy-can-magnet-pull,פחית נמשכת,🥫,בחרו 2 חפצים עם פחית ומגנט,🧾 בחרו 2 חפצים,2,מגנט + פחית,exactMatch (2 חובה),"אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מסמר, כפית מתכת, צמח, מים, שמש, עץ",כן,כן,כן,חלקית (שאלה מכוונת לחפצים),לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
קל,א׳–ב׳,easy-color-green,ערבוב צבעים,🎨,ליאו רוצה להכין צבע ירוק. אילו שני צבעים צריך?,🧾 בחרו 2 חפצים,2,כחול + צהוב,exactMatch (2 חובה),"אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ",לא,לא,כן,חלקית (שאלה מכוונת לחפצים),לא,כן,לשנות ניסוח + לשנות תשובות
קל,א׳–ב׳,easy-color-orange,ערבוב צבעים,🎨,ליאו רוצה צבע כתום. אילו שני צבעים צריך לערבב?,🧾 בחרו 2 חפצים,2,אדום + צהוב,exactMatch (2 חובה),"אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ",לא,לא,כן,חלקית (שאלה מכוונת לחפצים),לא,כן,לשנות ניסוח + לשנות תשובות
קל,א׳–ב׳,easy-color-orange-match,התאמת צבע,🎨,בחרו 2 צבעים כדי ליצור צבע כתום חדש.,🧾 בחרו 2 חפצים,2,אדום + צהוב,exactMatch (2 חובה),"אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ",לא,לא,כן,חלקית (שאלה מכוונת לחפצים),לא,כן,לשנות ניסוח + לשנות תשובות
קל,א׳–ב׳,easy-color-purple,ערבוב צבעים,🎨,הכינו צבע סגול לערבוב.,🧾 בחרו 2 חפצים,2,אדום + כחול,exactMatch (2 חובה),"אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","צהוב, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ",לא,לא,כן,חלקית (שאלה מכוונת לחפצים),לא,כן,לשנות ניסוח + לשנות תשובות
קל,א׳–ב׳,easy-cool-water,מים מקררים,🧊,בחרו 2 חפצים לניסוי קור עדין,🧾 בחרו 2 חפצים,2,מים + צמח,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, שמש, עץ",כן,לא,לא,לא (כותרת מזכירה מים ומים בתשובה),לא,כן,לשנות כותרת + לשנות תשובות
קל,א׳–ב׳,easy-float,בדקו מה צף במים,💧,בחרו 2 חפצים לבדיקת ציפה במים,🧾 בחרו 2 חפצים,2,מים + עץ + צמח,"validItems רחב (3 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, שמש",כן,כן,כן,לא (כותרת מזכירה מים ומים בתשובה),לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
קל,א׳–ב׳,easy-garden-rain,גשם לגינה,🌧️,בחרו 3 דברים שמדמים גשם לגינה,🧾 בחרו 3 חפצים,3,מים + צמח + עץ,exactMatch (3 חובה),"אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, שמש",לא,לא,כן,חלקית,לא,כן,לשנות ניסוח + לשנות תשובות
