"id","visible_text","file","line","parent_surface","source_type","source_field_or_function","display_condition","required_data","risk","severity","recommendation"
"P001","בודק התחברות הורה...","pages/parent/dashboard.js","682","Parent dashboard","static","auth loading render","auth/session check pending","session state","None","low","No action beyond visual QA."
"P002","דשבורד הורים","pages/parent/dashboard.js","701","Parent dashboard","static","Dashboard header","dashboard loaded","parent session","None","low","No action."
"P003","הוספת ילד / יציאה","pages/parent/dashboard.js","710,717","Parent dashboard","static","Dashboard action buttons","dashboard loaded","parent session","None","low","No action."
"P004","עדיין לא נוספו ילדים","pages/parent/dashboard.js","726","Parent dashboard","empty_state","students.length === 0","no linked students","students array","Clear empty state","low","No action."
"P005","דוח הורים / פעילות / פרטים","pages/parent/dashboard.js","751,765,773","Child card","static","Child card buttons","student exists","student id/name","None","low","No action."
"P006","פרטים — {שם ילד}","pages/parent/dashboard.js","794","Child details modal","template","details modal title","details modal open","student.full_name","Fallback 'ילד' can be generic","low","Acceptable; verify masked names if needed."
"P007","הפעילות נשלחה בהצלחה!","pages/parent/dashboard.js","809","Parent dashboard banner","static","onSuccess callback","activity send success","API success","None","low","No action."
"P008","מחיקת ילד לצמיתות","pages/parent/dashboard.js","824","Delete child modal","static","delete modal title","delete confirm open","deleteModalStudent","Destructive action warning","low","No action."
"P009","מחיקה זו תמחק לצמיתות את הילד, פרטי הכניסה, הסשנים, התשובות, הדוחות, המטבעות וכל הנתונים הקשורים אליו. לא ניתן לשחזר פעולה זו.","pages/parent/dashboard.js","827-828","Delete child modal","static","delete warning paragraph","delete confirm open","deleteModalStudent","High-stakes copy but clear","low","No action."
"P010","הקלידו את שם הילד בדיוק","pages/parent/dashboard.js","831","Delete child modal","static","delete confirmation instruction","delete confirm open","deleteModalStudent.full_name","None","low","No action."
"P011","יש לבחור כיתה לפעילות לפני יצירת שאלות","components/parent/AssignActivityModal.js","88","Assign activity","error_state","runPreview validation","missing activityGradeKey","activityGradeKey","Clear validation","low","No action."
"P012","יש להזין מספר שאלות","components/parent/AssignActivityModal.js","93,122","Assign activity","error_state","runPreview/sendActivity validation","invalid question count","questionCountInput","Clear validation","low","No action."
"P013","לא ניתן ליצור שאלות — נסו נושא אחר","components/parent/AssignActivityModal.js","109","Assign activity","error_state","runPreview catch","preview generation error","subject/topic/grade","Does not distinguish no content from system error","medium","Split no-content vs technical failure in future QA."
"P014","שליחת פעילות ל{student.full_name || ילד}","components/parent/AssignActivityModal.js","193","Assign activity","template","modal title","activity modal open","student.full_name","Fallback child label only","low","No action."
"P015","כותרת / מקצוע / כיתה לפעילות / נושא / מספר שאלות / רמת קושי","components/parent/AssignActivityModal.js","213,224,240,259,290,314","Assign activity form","static","form labels","modal open","none","None","low","No action."
"P016","מספר השאלות מוגבל עד {MAX_QUESTION_COUNT}","components/parent/AssignActivityModal.js","308","Assign activity form","template","questionCountExceedsMax","input above max","MAX_QUESTION_COUNT","None","low","No action."
"P017","קל / בינוני / קשה","components/parent/AssignActivityModal.js","329","Assign activity form","static","difficulty radio labels","modal open","difficulty enum","None","low","No action."
"P018","תצוגה מקדימה / שלח פעילות","components/parent/AssignActivityModal.js","343,351","Assign activity form","static","action buttons","modal open","none","None","low","No action."
"P019","שאלות ({preview.length})","components/parent/AssignActivityModal.js","362","Assign activity preview","template","preview list heading","preview.length > 0","preview questions","None","low","No action."
"P020","פעילויות שנשלחו","lib/parent-server/parent-activity-labels.client.js","14","Sent activities panel","static","parentSentActivitiesSectionTitleHe","panel open","none","None","low","No action."
"P021","ממתין להתחלה / בתהליך / הושלם","lib/parent-server/parent-activity-labels.client.js","8-10","Sent activity status","generated_from_payload","parentSentActivityStatusLabelHe(status)","activity row/detail displayed","activity.studentStatus","Status may not be reflected in report diagnostics","medium","Verify parent report distinguishes not_started/in_progress/submitted."
"P022","צפה בתוצאות","lib/parent-server/parent-activity-labels.client.js","18","Sent activities panel","static","parentViewActivityResultsLabelHe","activity row displayed","activity id","None","low","No action."
"P023","עדיין לא נשלחו פעילויות","components/parent/ParentSentActivitiesPanel.jsx","256","Sent activities panel","empty_state","loaded && activities.length === 0","panel loaded empty","activities[]","Clear empty state","low","No action."
"P024","לא ניתן לטעון תוצאות / שגיאת רשת","components/parent/ParentSentActivitiesPanel.jsx","50,56","Activity results modal","error_state","load error","detail fetch failed","API response/network","API message may be mixed language","medium","Map server errors to Hebrew before display."
"P025","תוצאות פעילות","components/parent/ParentSentActivitiesPanel.jsx","81","Activity results modal","fallback","activity?.title || fallback","missing activity title","activity.title","Fallback hides missing title","low","No action."
