"id","subject","grade","activity_type","question_type","file","line","exact_text","visible_to","issue_type","severity","recommendation"
"Q001","Geometry","G1-G6","Self Practice","Feedback","pages/learning/geometry-master.js","1739","Correct! 🎉","Student","Language Leak","High","Translate feedback to Hebrew."
"Q002","Geometry","G1-G6","Self Practice","Feedback","pages/learning/geometry-master.js","1906, 1948","Wrong! Correct answer: ${currentQuestion.correctAnswer} ❌","Student","Language Leak","High","Translate feedback to Hebrew."
"Q003","Geometry/Math","G1-G6","Self Practice","Feedback","pages/learning/geometry-master.js","1924","Game Over! 💔","Student","Language Leak","High","Translate to 'המשחק נגמר'."
"Q004","Math","G1-G4","Hint","Numeric","utils/math-explanations.js","789, 791, 793, 795","...עד ${correctAnswer}!","Student","Hint Reveals Answer","High","Remove the final correct answer from the step explanation."
"Q005","Geometry","G1-G6","Question","MCQ","utils/geometry-question-generator.js","1522","לפי השם ""שווה צלעות"" — איזה מספר מתאים? (1 = שווה צלעות...)","Student","Trivial Question","High","Change the stem so it tests geometric properties, not string matching."
"Q006","Moledet","G6","Question","MCQ","data/geography-questions/g6.js","146-152","מה זה גיוון? ... מסיח: 'כולם מוזרים' / 'כולם זרים'","Student","Inappropriate Distractor","High","Replace distractors with educational misconceptions, not stigmatizing phrases."
"Q007","Geometry","G1-G6","Question","MCQ","utils/geometry-question-generator.js","1392","כמה צלעות שוות יש לריבוע? (1 = 2, 2 = 3, 3 = 4, 4 = אין צלעות שוות)","Student","Confusing Instruction","Medium","Use UI buttons for choices instead of index mapping legends."
"Q008","Math","G1-G6","Question","Hard Band","utils/math-question-generator.js","163","ניתוח מחלקים: האם ${div} מחלק את ${num} בדיוק?","Student","Age Inappropriate Tone","Medium","Simplify academic phrasing for elementary school hard bands."
"Q009","All","G1-G6","Assigned Activity","Completion","pages/student/activity/[activityId].js","completion state","קראת את ההסבר של המורה. תודה! / המורה יראה את התשובה בכיתה.","Student","Context Mismatch","Medium","Branch completion text by assignment scope (parent vs teacher)."
"Q010","English","G1-G2","Question","Translation","data/english-questions/translation-pools.js","7-8","בבקשה שבו","Student","Grammar/Gender","Medium","Fix phrasing to plural and natural: 'בבקשה, שבו'."
"Q011","Science","G1-G3","Question","MCQ","data/science-questions-p0-g123-fill.js","5140-5148","רק שם / הכל / שום דבר","Student","Weak Distractor","Low","Replace placeholder distractors with real subject matter."
"Q012","All","G1-G6","Assigned Activity","Error State","lib/classroom-activities/student-activity-error-labels.client.js","error mapping","שגיאה — נסו שוב","Student","Tone/Plural","Low","Change to singular 'נסה/נסי שוב' or neutral 'יש לנסות שוב' for single child UI."
"Q013","Geometry","G3-G6","Hint","Explanations","utils/geometry-explanations.js","89","חברי את שתי הזוויות הנתונות, ואז הפחיתי מ-180°","Student","Grammar/Gender","Low","Change to inclusive/neutral phrasing (e.g. 'יש לחבר את...')."
"Q014","Moledet","G1","Question","MCQ","data/geography-questions/g1.js","86-93","איך קוראים למקום שאנחנו גרים בו? (ישראל, אמריקה...)","Student","Stem Ambiguity","Low","Clarify stem to 'באיזו מדינה אנו גרים?'."
"Q015","All","G1-G6","Assigned Activity","Empty State","pages/student/activity/[activityId].js","839-840","Silent blank screen on empty question set","Student","Missing UI State","Medium","Add a visible 'אין שאלות בפעילות זו' empty state."
