row_number,id,audience,source_file,source_line,report_surface,report_section,subject_if_known,grade_if_known,class_or_student_context_if_known,data_state_if_known,engine_meaning_plain_he,before_in_report_context,suggested_replacement_placeholder,after_in_report_context_placeholder,context_confidence,notes
1,TS-HE-00143,teacher,components/teacher-portal/TeacherDashboardClient.jsx,199,teacher_dashboard,student_summary,,ה׳,תלמיד בודד — [תלמיד],normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בלוח בקרה של המורה | סיכום תלמיד
שכבה לדוגמה: ה׳
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: normal_data
כפי שמופיע היום: תלמיד נוסף. שם משתמש: … PIN: 1234",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
2,TS-HE-00260,teacher,components/teacher-portal/TeacherStudentWorksheetsPanel.jsx,42,report_general,export_labels,,ה׳,,normal_data,הטקסט מסביר למורה שדוח זה נפרד ממסלול האבחון האוטומטי — יש לנסח מחדש בלי אזכור 'מנוע'.,"בממשק המורה | תוויות ייצוא
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כותרת במסך: דפי עבודה (פעילות מורה)
כפי שמופיע היום: לא משולב במנוע האבחון — דוח נפרד מפעילויות אוטומטיות.",,ימולא לאחר אישור נוסח,high,
3,TS-HE-00806,school_manager,lib/school-portal/school-ui.he.js,64,activity_export,data_health,חשבון,ה׳,תלמיד בודד — [תלמיד],normal_data,הודעה על מצב נתונים דל או חסר בדוח.,"בייצוא דוח פעילות (Excel/PDF) | מצב נתונים
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: normal_data
כותרת במסך: סקירה כללית, פעולות מהירות ומעקב אחרי פעילות בבית הספר
כפי שמופיע היום: ניתן לרשום תלמיד לפי מזהה UUID בטופס למעלה.",,ימולא לאחר אישור נוסח,high,
4,TS-HE-00873,school_manager,lib/school-portal/school-ui.he.js,137,activity_export,export_labels,חשבון,ה׳,תלמיד בודד — [תלמיד],normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בייצוא דוח פעילות (Excel/PDF) | תוויות ייצוא
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: normal_data
כותרת במסך: הרשאות מקצועות
כפי שמופיע היום: מזהה תלמיד (UUID)",,ימולא לאחר אישור נוסח,high,
5,TS-HE-01731,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,136,guidance_diagnostic,general,,ה׳,,normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: לבודד משפטי שאלה קצרים עם do/does/is/are במקום הנכון.",,ימולא לאחר אישור נוסח,high,
6,TS-HE-01737,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,151,guidance_diagnostic,general,,ה׳,,normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: לבחור -er/-est או more/most במשפט קצר.",,ימולא לאחר אישור נוסח,high,
7,TS-HE-01739,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,156,guidance_diagnostic,general,,ה׳,,normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: לבחור בין will ל-going to בהקשר ברור.",,ימולא לאחר אישור נוסח,high,
8,TS-HE-01741,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,161,guidance_diagnostic,general,,ה׳,,normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: לבדוק צורת perfect מול זמן פשוט באותו הקשר.",,ימולא לאחר אישור נוסח,high,
9,TS-HE-01743,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,166,guidance_diagnostic,general,,ה׳,,normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: לבודד if/when עם צורת פועל מתאימה בגוף אחד.",,ימולא לאחר אישור נוסח,high,
10,TS-HE-01757,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,208,guidance_diagnostic,general,,ה׳,,normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: לבודד משפטים עם I/he/they ולבחור צורת be מתאימה.",,ימולא לאחר אישור נוסח,high,
11,TS-HE-01765,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,228,guidance_diagnostic,general,,ה׳,,normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: לבודד משפטי שאלה קצרים עם do/does/is/are במקום הנכון.",,ימולא לאחר אישור נוסח,high,
12,TS-HE-01769,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,238,guidance_diagnostic,general,,ה׳,,normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: להבחין בין some/many/much במשפט קצר.",,ימולא לאחר אישור נוסח,high,
13,TS-HE-01773,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,248,guidance_diagnostic,general,,ה׳,,normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: לבחור בין will ל-going to בהקשר ברור.",,ימולא לאחר אישור נוסח,high,
14,TS-HE-01775,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,253,guidance_diagnostic,general,,ה׳,,normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: לבדוק perfect מול זמן פשוט באותו הקשר.",,ימולא לאחר אישור נוסח,high,
15,TS-HE-01777,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,258,guidance_diagnostic,general,,ה׳,,normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: לבודד if/when עם צורת פועל מתאימה.",,ימולא לאחר אישור נוסח,high,
16,TS-HE-01799,mixed_or_unclear,utils/fast-diagnostic-engine/run-fast-diagnosis-for-unit.js,160,guidance_diagnostic,general,,ה׳,,weak_result,המערכת מדגישה טעויות חוזרות שדורשות תשומת לב.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: weak_result
כפי שמופיע היום: ב… נראה דפוס עקבי (… טעויות בטווח; ריכוז דומה של סוג הקושי).",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
17,TS-HE-01800,mixed_or_unclear,utils/fast-diagnostic-engine/run-fast-diagnosis-for-unit.js,165,guidance_diagnostic,general,,ה׳,,normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: השערה ראשונית ב…: חוזרות על אותו סוג טעות — כדאי לאמת בהמשך עם עוד דוגמאות.",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
18,TS-HE-01801,mixed_or_unclear,utils/fast-diagnostic-engine/run-fast-diagnosis-for-unit.js,170,guidance_diagnostic,general,,ה׳,,normal_data,הטקסט מיועד למורה/מנהל אך מכיל מונח טכני באנגלית שעלול לבלבל.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: normal_data
כפי שמופיע היום: סימן ראשוני ב…",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
19,TS-HE-00099,teacher,components/teacher-portal/SubjectSummaryCards.jsx,10,subject_permission,data_health,חשבון (לדוגמה),ה׳,,thin_data,אין מספיק נתונים לקביעת מסקנה.,"בהרשאות מקצוע / סינון מקצועות | מצב נתונים
מקצוע לדוגמה: חשבון (לדוגמה)
שכבה לדוגמה: ה׳
מצב נתונים: thin_data
כפי שמופיע היום: אין מספיק נתונים",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_dashboard_active
20,TS-HE-00103,teacher,components/teacher-portal/SubjectSummaryCards.jsx,66,subject_permission,data_health,חשבון,ה׳,,thin_data,אין מספיק נתונים לקביעת מסקנה.,"בהרשאות מקצוע / סינון מקצועות | מצב נתונים
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
מצב נתונים: thin_data
כפי שמופיע היום: אין מספיק נתונים לפי מקצוע",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_dashboard_active
21,TS-HE-00139,teacher,components/teacher-portal/TeacherDashboardClient.jsx,83,teacher_dashboard,data_health,,ה׳,רשימת כיתות/תלמידים בלוח בקרה,thin_data,אין מספיק נתונים לקביעת מסקנה.,"בלוח בקרה של המורה | מצב נתונים
שכבה לדוגמה: ה׳
הקשר: רשימת כיתות/תלמידים בלוח בקרה
מצב נתונים: thin_data
כפי שמופיע היום: אין מספיק נתונים",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_dashboard_active
22,TS-HE-00167,teacher,components/teacher-portal/TeacherDashboardClient.jsx,597,teacher_dashboard,data_health,,ה׳,רשימת כיתות/תלמידים בלוח בקרה,thin_data,אין מספיק נתונים לקביעת מסקנה.,"בלוח בקרה של המורה | מצב נתונים
שכבה לדוגמה: ה׳
הקשר: רשימת כיתות/תלמידים בלוח בקרה
מצב נתונים: thin_data
כפי שמופיע היום: עדיין אין מספיק נתונים",,ימולא לאחר אישור נוסח,high,
23,TS-HE-00169,teacher,components/teacher-portal/TeacherDashboardClient.jsx,637,teacher_dashboard,general,,ה׳,רשימת כיתות/תלמידים בלוח בקרה,weak_result,המערכת מסמנת שיש צורך בפעולה מיידית של המורה.,"בלוח בקרה של המורה | אזור כללי
שכבה לדוגמה: ה׳
הקשר: רשימת כיתות/תלמידים בלוח בקרה
מצב נתונים: weak_result
כותרת במסך: תלמידים הדורשים תשומת לב
כפי שמופיע היום: דורש התערבות מיידית",,ימולא לאחר אישור נוסח,high,
24,TS-HE-00171,teacher,components/teacher-portal/TeacherDashboardClient.jsx,641,teacher_dashboard,general,,ה׳,רשימת כיתות/תלמידים בלוח בקרה,weak_result,המערכת מסמנת שיש צורך בפעולה מיידית של המורה.,"בלוח בקרה של המורה | אזור כללי
שכבה לדוגמה: ה׳
הקשר: רשימת כיתות/תלמידים בלוח בקרה
מצב נתונים: weak_result
כותרת במסך: תלמידים הדורשים תשומת לב
כפי שמופיע היום: דורש התערבות מיידית",,ימולא לאחר אישור נוסח,high,
25,TS-HE-00677,school_manager,lib/school-portal/school-report-view-model.js,585,school_admin_ui,data_health,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,thin_data,אין מספיק נתונים לקביעת מסקנה.,"בממשק ניהול בית הספר | מצב נתונים
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: thin_data
כפי שמופיע היום: אין מספיק נתונים",,ימולא לאחר אישור נוסח,high,
