id,category,file,line,exact_text,why_suspicious,visible_or_internal,likely_surface,severity,recommendation
HEA-001,english_leftover,lib/learning-client/studentHomeDashboardClient.js,102,Student,"Fallback באנגלית בממשק תלמיד עברי",visible,student_home,blocker,"להחליף לברירת מחדל עברית (למשל ""תלמיד/ה"")"
HEA-002,english_leftover,utils/parent-copilot/question-classifier-llm.js,77,report_related,"תגית אנגלית פנימית בתוך מסלול תשובה להורה",ai_generated_visible,parent_copilot,high,"להבטיח מיפוי לעברית לפני כל החזרה לממשק"
HEA-003,english_leftover,utils/parent-copilot/question-classifier-llm.js,78,off_topic,"תגית אנגלית פנימית בתוך מסלול תשובה להורה",ai_generated_visible,parent_copilot,high,"ליישר לשמות עבריים בשכבת הפלט"
HEA-004,english_leftover,utils/parent-copilot/question-classifier-llm.js,79,diagnostic_sensitive,"תגית אנגלית פנימית בתוך מסלול תשובה להורה",ai_generated_visible,parent_copilot,high,"לבודד קודי מערכת מהטקסט שמגיע ל-UI"
HEA-005,english_leftover,utils/parent-copilot/question-classifier-llm.js,80,ambiguous_or_unclear,"תגית אנגלית פנימית בתוך מסלול תשובה להורה",ai_generated_visible,parent_copilot,high,"להחזיר רק ניסוח עברי"
HEA-006,internal_text,lib/learning-client/studentHomeDashboardClient.js,441,"פעילות הורה מזוכה בדקות/progress/rewards דרך computeStudentLearningDerived + monthly persistence (סוכן 2).","טקסט פנימי+אנגלית+שמות מימוש בתוך אובייקט runtime",internal_runtime,student_dashboard_meta,medium,"להחליף לניסוח עסקי נקי או להסיר מה-payload"
HEA-007,internal_text,pages/student/home.js,35,return s;,"החזרת הודעת שרת גולמית עלולה להדליף אנגלית/טקסט פנימי",visible_on_error,student_home_error,high,"להחזיר הודעת fallback עברית קבועה במקום raw error"
HEA-008,term_inconsistency,pages/parent/login.js,130,דשבורד,"שימוש בתעתיק אנגלי; במשטחים אחרים משתמשים ב""לוח בקרה""",visible,parent_login,medium,"להחליט מונח אחיד: דשבורד או לוח בקרה"
HEA-009,term_inconsistency,pages/learning/parent-report.js,1310,דשבורד הורים,"אי-עקביות טרמינולוגית מול משטחים אחרים",visible,parent_report,medium,"לאחד טרמינולוגיה בכל מסכי הורה"
HEA-010,punctuation_unicode_bidi,pages/learning/moledet-geography-master.js,2184,\u2066${currentQuestion.correctAnswer}\u2069,"שימוש בתווי בידוד בלתי נראים דורש מדיניות אחידה",visible,learning_feedback,medium,"לתעד מדיניות Bidi אחידה וליישם עקבית"
HEA-011,punctuation_unicode_bidi,pages/learning/math-master.js,2951,\u2066${currentQuestion.correctAnswer}\u2069,"תווי Bidi נסתרים בשרשור תשובה",visible,learning_feedback,medium,"לאמת הכרח; אם לא הכרחי להסיר"
HEA-012,punctuation_unicode_bidi,pages/learning/moledet-geography-master.js,3518,\u200Fאיך פותרים את התרגיל?,"תו RLM נסתר בתחילת מחרוזת",visible,learning_help_modal,medium,"לאחד גישת RTL (CSS/dir) במקום תווי שליטה ידניים"
