file,old,new,reason
hebrew-g1/pages/page-117.txt,"הַחָתוּל יָשֵׁן — איזה סימן שמים בסוף, .",הַחָתוּל יָשֵׁן — איזה סימן שמים בסוף: נקודה או סימן שאלה?,פיסוק שבור ולא מתאים לשמע
hebrew-g2/pages/page-132.txt,"מחברת — מתאים לכל הרמזים. עט? — בו לא כותבים, הוא כלי הכתיבה.","מחברת — מתאימה לכל הרמזים. עט הוא כלי כתיבה, אבל הוא לא עשוי נייר ולא לוקחים בו שיעורים.",תיקון הסבר שגוי: בעט כן כותבים
hebrew-g3/pages/page-049.txt,בתרגול תמצאו קטעים עם כי ועייף.,בתרגול תמצאו קטעים עם כי או בגלל.,ניסוח שגוי/לא טבעי
hebrew-g3/pages/page-049.txt,קראו מה באחרי כי!,קראו מה בא אחרי כי!,תיקון עברית
hebrew-g3/pages/page-171.txt,לחש — מתאים — לא רצם.,לחש — מתאים. לא צעק.,תיקון מילה שגויה
hebrew-g3/pages/page-188.txt,"קודם שיעורים, אחר כך שחק — זה סדר זמן.","קודם שיעורים, אחר כך משחק — זה סדר זמן.",תיקון ניסוח
hebrew-g4/pages/page-073.txt,במוזיאון ראינו תצוגה של כלי קדומים ___ מאדם.,במוזיאון ראינו תצוגה של כלים קדומים מאוד.,תיקון משפט לא תקין והסרת קו תחתון
hebrew-g4/pages/page-073.txt,המילה החסרה:,המילה המתאימה:,התאמה למשפט החדש
hebrew-g4/pages/page-073.txt,עשויים — מתאימה להקשר של כלי קדומים ושנים.,קדומים מאוד — מתאים להקשר של כלים בני אלפי שנים.,תיקון תשובה שגויה
hebrew-g4/pages/page-074.txt,הילדים ישבו בפינה השקטה ו___ בספרים על ים.,הילדים ישבו בפינה השקטה וקראו בספרים על ים.,הסרת קו תחתון ותיקון זמן הפועל
hebrew-g4/pages/page-074.txt,איזו מילה מתאימה — קוראים / רצים / בוכים?,"איזו מילה מתאימה — קראו, רצו או בכו?",הסרת slash והתאמת זמן עבר
