child,subject,topic,bucketKey,normalizedBucketKey,q,accuracy,candidateIdsBefore,candidateIdsAfter,taxonomyMatchStrength,subskillCandidate,reason_no_subskill,missing_data
AAA2,math,"חיבור - כיתה א׳","addition::grade:g1",addition,46,76,["M-02"],["M-02"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA2,geometry,"צורות בסיסיות - כיתה א׳","shapes_basic::grade:g1",shapes_basic,5,100,[],["G-01"],none,"",not_weakness_row,"accuracyBand=mastery"
AAA2,science,"גוף האדם - כיתה א׳","body::grade:g1",body,68,72,[],["S-03"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA2,hebrew,"קריאה - כיתה א׳","reading::grade:g1",reading,61,34,[],["H-04"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA3,math,"חיבור - כיתה ב׳","addition::grade:g2",addition,124,77,["M-02"],["M-02"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA3,geometry,"שטח - כיתה ב׳","area::grade:g2",area,111,77,[],["G-03","G-08"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA3,english,"אוצר מילים - כיתה ב׳","vocabulary::grade:g2",vocabulary,64,72,[],["E-01","E-05"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA3,science,"גוף האדם - כיתה ב׳","body::grade:g2",body,73,75,[],["S-03"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA3,hebrew,"קריאה - כיתה ב׳","reading::grade:g2",reading,76,68,[],["H-04"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA4,math,"חיבור - כיתה ב׳","addition::grade:g2",addition,136,38,["M-02"],["M-02"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA4,geometry,"שטח - כיתה ב׳","area::grade:g2",area,32,75,[],["G-03","G-08"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA4,english,"אוצר מילים - כיתה ב׳","vocabulary::grade:g2",vocabulary,59,68,[],["E-01","E-05"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA4,science,"גוף האדם - כיתה ב׳","body::grade:g2",body,48,85,[],["S-03"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA4,hebrew,"קריאה - כיתה ב׳","reading::grade:g2",reading,41,73,[],["H-04"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA5,math,"חיבור - כיתה ג׳","addition::grade:g3",addition,32,81,["M-02"],["M-02"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA5,geometry,"שטח - כיתה ג׳","area::grade:g3",area,278,82,[],["G-03","G-08"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA5,science,"גוף האדם - כיתה ג׳","body::grade:g3",body,43,60,[],["S-03"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA5,hebrew,"קריאה - כיתה ג׳","reading::grade:g3",reading,49,82,[],["H-04"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA5,moledet-geography,"גאוגרפיה - כיתה ג׳","geography::grade:g3",geography,53,66,[],["MG-01","MG-02","MG-05"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA7,math,"חיבור - כיתה ד׳","addition::grade:g4",addition,27,70,["M-02"],["M-02"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA7,geometry,"שטח - כיתה ד׳","area::grade:g4",area,44,80,[],["G-03","G-08"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA7,english,"אוצר מילים - כיתה ד׳","vocabulary::grade:g4",vocabulary,313,25,[],["E-01","E-05"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA7,science,"גוף האדם - כיתה ד׳","body::grade:g4",body,49,65,[],["S-03"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA7,hebrew,"קריאה - כיתה ד׳","reading::grade:g4",reading,84,74,[],["H-04"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA7,moledet-geography,"גאוגרפיה - כיתה ד׳","geography::grade:g4",geography,32,69,[],["MG-01","MG-02","MG-05"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA12,geometry,"שטח - כיתה ו׳","area::grade:g6",area,75,79,[],["G-03","G-08"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA12,english,"אוצר מילים - כיתה ו׳","vocabulary::grade:g6",vocabulary,30,43,[],["E-01","E-05"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA12,science,"גוף האדם - כיתה ו׳","body::grade:g6",body,20,65,[],["S-03"],strong,"",missing_metadata,"metadataPresentRate=0%"
AAA12,moledet-geography,"גאוגרפיה - כיתה ו׳","geography::grade:g6",geography,46,72,[],["MG-01","MG-02","MG-05"],strong,"",missing_metadata,"metadataPresentRate=0%"
