id,route_or_flow,viewport,role,screenshot_path,issue_summary,severity,recommendation,reproducible_steps
VRT-001,/,desktop,public,07-screenshots/01-home-public-desktop.png,תקין — RTL ניווט נכון,PASS,,ניווט ל-/ עם Playwright desktop context
VRT-002,/,mobile,public,07-screenshots/01-home-public-mobile.png,תקין — RTL ניווט נכון,PASS,,ניווט ל-/ עם Playwright iPhone 13 context
VRT-003,/parent/login,desktop,public,07-screenshots/02-parent-login-public-desktop.png,תקין — טפסי RTL תקינים; placeholder בעברית,PASS,,ניווט ל-/parent/login
VRT-004,/parent/login,mobile,public,07-screenshots/02-parent-login-public-mobile.png,תקין — טפסי RTL תקינים במובייל,PASS,,ניווט ל-/parent/login עם iPhone UA
VRT-005,/student/login,desktop,public,07-screenshots/03-student-login-public-desktop.png,תקין — כניסת ילד/ה RTL תקין,PASS,,ניווט ל-/student/login
VRT-006,/student/login,mobile,public,07-screenshots/03-student-login-public-mobile.png,תקין — RTL תקין במובייל,PASS,,ניווט ל-/student/login עם iPhone UA
VRT-007,/parent/dashboard,desktop,parent,07-screenshots/04-parent-post-login-parent-desktop.png,בודק אישור מדיניות... — fixture user לא השלים policy acceptance,"MEDIUM — fixture issue, לא bug RTL","לאמת fixture: admin@admin.com להשלים policy acceptance לפני בדיקה",login כ-admin@admin.com → navigate /parent/dashboard
VRT-008,/parent/dashboard,desktop,parent,07-screenshots/04-parent-dashboard-parent-desktop.png,בודק אישור מדיניות... — תוכן dashboard לא נטען,"MEDIUM — fixture issue","לבצע policy acceptance לfixture user לפני QA",navigate /parent/dashboard אחרי login
VRT-009,/student/home,desktop,student,07-screenshots/05-student-home-student-desktop.png,"טוען את דף הבית... — loading state, תוכן לא נטען","LOW — timing/fixture issue","להגדיל waitForTimeout מ-2000ms ל-5000ms בסקריפט",API login כ-ADMIN → navigate /student/home → screenshot מיד
VRT-010,/student/home,mobile,student,07-screenshots/05-student-home-student-mobile.png,"טוען את דף הבית... — loading state, נראה תקין אחרת","LOW — timing/fixture issue","להגדיל waitForTimeout",API login כ-ADMIN → navigate /student/home → screenshot iPhone 13
VRT-011,/learning,desktop,student,07-screenshots/07-learning-hub-student-desktop.png,תקין — מרכז למידה RTL נכון,PASS,,login → navigate /learning
VRT-012,/learning,mobile,student,07-screenshots/07-learning-hub-student-mobile.png,תקין — RTL תקין במובייל,PASS,,login iPhone → navigate /learning
VRT-013,/learning/math-master,desktop,student,07-screenshots/08-math-master-student-desktop.png,תקין — בורר כיתה/נושא RTL נכון,PASS,,login → navigate /learning/math-master
VRT-014,/learning/math-master,mobile,student,07-screenshots/08-math-master-student-mobile.png,תקין — RTL תקין במובייל,PASS,,login iPhone → navigate /learning/math-master
VRT-015,/learning/geometry-master,desktop,student,07-screenshots/09-geometry-master-student-desktop.png,תקין — בורר גאומטריה RTL נכון,PASS,,login → navigate /learning/geometry-master
VRT-016,/learning/geometry-master,mobile,student,07-screenshots/09-geometry-master-student-mobile.png,תקין — RTL תקין במובייל,PASS,,login iPhone → navigate /learning/geometry-master
VRT-017,/learning/book/math/g1/add_two,desktop,student,07-screenshots/10-book-math-g1-add-student-desktop.png,תקין — ספר חשבון g1 RTL נכון (לפחות section 1),PASS,,login → navigate book URL
VRT-018,/learning/book/math/g1/add_two,mobile,student,07-screenshots/10-book-math-g1-add-student-mobile.png,"BLOCKER — Internal Server Error, דף ריק עם טקסט גולמי","CRITICAL — blocker","לחקור server logs כשmobile UA מגיע ל-/learning/book/*; לבדוק middleware",login iPhone API → navigate /learning/book/math/g1/add_two → screenshot
VRT-019,/learning/book/math/g2/sub_vertical,desktop,student,07-screenshots/11-book-math-g2-sub-vertical-student-desktop.png,"תקין — חיסור מאונך: 'לחסר עמודה אחר עמודה' — RTL קריא",PASS,,login → navigate book URL
VRT-020,/learning/book/math/g2/sub_vertical,mobile,student,07-screenshots/11-book-math-g2-sub-vertical-student-mobile.png,"BLOCKER — Internal Server Error","CRITICAL — blocker","כנ""""ל VRT-018",login iPhone → navigate /learning/book/math/g2/sub_vertical
VRT-021,/learning/book/math/g2/wp_coins_spent,desktop,student,07-screenshots/12-book-math-g2-coins-student-desktop.png,"תקין — 'שאלות מילוליות, קניות ועודף' — RTL קריא",PASS,,login → navigate book URL
