id,flow_name,input_data,evidence_count,evidence_source,threshold_used,gate_result,prompt_or_template,source_file,source_line,source_function,possible_output_text,actual_or_expected_visible_text,parent_risk,language_quality_problem,leakage_risk,severity,required_fix,owner_decision
F01,no_data_fallback,"No anchored topic rows; no aggregate practice evidence",0,"none","no anchors + !hasAggregatePracticeEvidence; RI0","buildTruthPacketV1NoAnchoredFallback; cannotConcludeYet=true; recommendationEligible=false","fallback narrative.textSlots.uncertainty","utils/parent-copilot/truth-packet-v1.js",855,"buildTruthPacketV1NoAnchoredFallback","כדאי לצבור עוד תרגול קצר לפני מסקנה: 10 דקות חזרה... 5-8 שאלות...","Parent may see action-like uncertainty despite RI0","Recommendation without eligible evidence; parent may think AI gave personalized plan","Natural Hebrew but too actionable for fallback","None in text, but RI0 mismatch hidden","BLOCKER","Remove concrete action from RI0 fallback or classify as generic onboarding outside AI recommendation","Decide if no-data copy may include habit guidance"
F02,subject_no_questions,"Parent asks about subject with 0 visible questions",0,"subjectQuestionCountFromPayload","SUBJECT_EVIDENCE_TIER.none","ANSWER_CONTRACT.zero_evidence","zeroEvidenceSubjectCopilotHe","utils/parent-copilot/intent-answer-contract.js",72,"resolveAnswerContract","בתקופה שנבחרה לא נאספו נתוני תרגול ב[מקצוע]...","Expected zero-evidence boundary","Low risk if subject route is used","Natural","No direct leakage","LOW","Ensure all subject-specific asks route here before executive fallback","Owner to confirm zero evidence wording"
F03,three_questions_topic,"Topic has 3 questions; parent asks what is difficult",3,"topic row","PARENT_EVIDENCE_VOLUME.INSUFFICIENT_MAX=4; polarity thin","composeMistakePattern thin path","intent composer thin answer","utils/parent-copilot/intent-answer-composers.js",450,"composeMistakePattern","ב[נושא] יש 3 שאלות... עדיין מעט נתון","Expected cautious wording + collect more data","Mostly OK; still gives next_step-like guidance","Natural","No direct leakage","MEDIUM","Keep only data-collection language; avoid concrete practice plan if RI0","Confirm whether thin next_step is allowed"
F04,eight_questions_low_accuracy,"Topic q=8 acc<=54",8,"topic row","STRONG_Q_MIN=8; WEAK_ACC_MAX=54; matrix says insight 8-11","weak candidate / topic_problem","composeTopicProblem","utils/parent-copilot/intent-answer-composers.js",383,"composeTopicProblem","נראה קושי חוזר... הבסיס עדיין לא יציב מספיק","Visible wording may call weak at insight-level evidence","Can sound diagnostic/too certain from only 8 questions","Natural but strong","No direct leakage","HIGH","Require stronger hedge for q 8-11; reserve 'קושי חוזר' for recurrence/confidence","Decide if q=8 permits weakness naming"
F05,twelve_questions_low_accuracy,"Topic q=12 acc low; wrong>=2",12,"topic row + mistakes","matrix STRONG_MIN=12; diagnostic moderate if q>=12 && wrong>=2","moderate diagnostic/recommendation possible","diagnostic + recommendation mapping","utils/diagnostic-engine-v2/confidence-policy.js",23,"resolveConfidenceLevel","חיזוק ממוקד לפי הדוח","Expected if recurrence/wrong support exists","OK only when recurrence and confidence are visible","Natural","No direct leakage","MEDIUM","Expose why evidence is enough; require recurrence in parent text","Owner to define recurrence display"
F06,twenty_four_high_accuracy,"Topic q>=24 acc>=75",24,"topic row","MASTERY_REALLOCATION_Q_MIN=24; STRONG_ACC_MIN=75","reallocation hint offered","masteryReallocationHe","utils/parent-copilot/intent-answer-composers.js",652,"composeStrength","כדאי לשקול להפנות חלק מזמן התרגול לנושא אחר","Parent may shift effort based on composer-only threshold","Recommendation is data-based but threshold not globally owned","Natural","No leakage","MEDIUM","Move reallocation threshold into unified matrix or suppress until owner approves","Owner decision required on reallocation"
F07,high_volume_topic,"Diagnostic topic q>=40",40,"diagnostic evidenceTrace","confidence-policy high; matrix high_volume","confidence high","diagnostic output gating","utils/diagnostic-engine-v2/confidence-policy.js",23,"resolveConfidenceLevel","כיוון עקבי / שליטה יציבה","Expected stronger wording if no contradictions","Generally backed by data","Natural","No direct leakage","LOW","Ensure visible text includes q/accuracy and no global overreach","Confirm high-volume copy"
F08,low_accuracy_few_questions,"Topic q<4 acc low",1-3,"topic row","q<4 insufficient_data; thin overview hedge","cannot conclude; probe only","v2 short overview hedge","utils/parent-report-v2.js",1138,"unitRequiresShortThinOverviewHedge","מוקדם לסגור מסקנה","Expected cautious output","Low if hedge actually appears","Natural","No leakage","LOW","Regression test thin rows in UI/PDF/API","Owner confirm exact hedge"
F09,low_accuracy_many_questions,"Topic q>=40 acc low",40,"topic row + mistakes","confidence high by q>=40; weak if acc low","intervention may be allowed if recurrence and priority","diagnostic/recommendation","utils/diagnostic-engine-v2/output-gating.js",198,"applyOutputGating","ביטחון גבוה ועדיפות מאשרות כיוון התערבות","Potentially OK; risk if parent sees engine-like confidence","Hebrew OK if transformed; raw line too internal","Internal reason text risk if leaked","HIGH","Parent-facing copy must say evidence count/repeated mistakes, not engine confidence","Owner approve intervention wording"
F10,personal_activity_only,"Evidence source is parent_assigned_activity only",">0","parent_assigned_activity","evidenceSourcePhraseHe maps to empty string","source hidden","source phrase template","utils/parent-report-language/grade-insight-he.js",14,"evidenceSourcePhraseHe","","No visible source phrase","Parent cannot understand basis of recommendation/source","Not applicable","No label leak, but source opacity","MEDIUM","Add parent-safe source phrase or explicit 'מקור הראיה מוצג בדוח'","Owner decide whether parent-assigned source should be visible"
