internalTag,producerActive,taxonomyId,labelExists,labelHe,describesObservedFact,claimsUnprovenCause,clinicalOrDidacticLanguage,fitsSubjectTopic,canPresentWithCount,status,producerStatus,aliasOf,notes
add_instead_of_mul,true,M-10,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
add_instead_of_sub,true,M-09,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
agreement_error,true,E-02,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
angle_range_error,true,G-02,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
animal_classification_error,true,S-01|S-08,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
area_formula_error,true,G-03,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
article_error,false,E-04,false,,false,false,false,true,false,inactive,inactive,,
body_system_confusion,true,S-03,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
borrow_error,true,M-09,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
calculation_error,false,,true,הטעות נובעת מחישוב או מסדר פעולות,false,false,false,false,false,needs_rewrite,inactive,,
calculation_near_miss,true,,false,,false,false,false,false,false,no_safe_label_possible,PASS,,
calculation_off_by_one,true,M-06,true,טעות חישוב של סטייה ב-1,true,false,false,true,true,approved_factual,PASS,,
careless_error,false,S-01|HI-01,true,נראות טעויות ביצוע קטנות שחוזרות כשממהרים,false,false,false,true,false,duplicate_alias,inactive,concept_confusion,
careless_or_attention,false,,true,נראות טעויות ביצוע קטנות שחוזרות כשממהרים,false,false,false,false,false,needs_rewrite,inactive,,
careless_pattern,false,,true,נראות טעויות ביצוע קטנות שחוזרות כשממהרים,false,false,false,false,false,needs_rewrite,inactive,,
carry_error,true,M-02,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
cause_effect_error,true,HI-03,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
character_role_error,false,HI-05,false,,false,false,false,true,false,inactive,inactive,,
chronology_error,false,HI-02,false,,false,false,false,true,false,duplicate_alias,inactive,timeline_sequence_error,
circle_perimeter_compute,true,G-06,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
citizenship_error,true,MG-03,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
classification_confusion,false,S-01,false,,false,false,false,true,false,inactive,inactive,,
classification_error,false,S-01|S-08,false,,false,false,false,true,false,duplicate_alias,inactive,animal_classification_error,
collocation_error,false,E-01,false,,false,false,false,true,false,inactive,inactive,,
column_arithmetic_error,true,,false,,false,false,false,false,false,no_safe_label_possible,NO_VALID_FIXTURE,,
column_carry_error,true,M-02,false,,false,false,false,true,false,duplicate_alias,PASS,carry_error,alias_of:carry_error
common_denominator_error,true,M-05,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
community_error,true,MG-07,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
community_values_confusion,false,MG-06,false,,false,false,false,true,false,inactive,inactive,,
comparison_error,true,HI-04,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
concept_confusion,true,S-01|HI-01,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
conceptual_error,false,,true,נראה שיש בלבול ביסודי בחומר,false,false,false,false,false,needs_rewrite,inactive,,
conceptual_misunderstanding,false,,true,נראה שיש בלבול ביסודי בחומר,false,false,false,false,false,needs_rewrite,inactive,,
cultural_influence_confusion,false,HI-07,false,,false,false,false,true,false,duplicate_alias,inactive,culture_heritage_error,
culture_heritage_error,true,HI-07,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
decimal_place_error,true,M-06,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
denominator_only_compare,true,M-04,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
direction_error,true,MG-01,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
division_fact_error,false,M-13,false,,false,false,false,true,false,inactive,inactive,,
earth_space_error,false,S-06,false,,false,false,false,true,false,duplicate_alias,inactive,planet_confusion,
ecosystem_confusion,true,S-07,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
environment_error,false,S-07,false,,false,false,false,true,false,duplicate_alias,inactive,ecosystem_confusion,
equation_sign_error,true,M-19,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
evidence_claim_error,false,HI-08,false,,false,false,false,true,false,duplicate_alias,inactive,source_comprehension_error,
experiment_design_error,false,S-02,false,,false,false,false,true,false,inactive,inactive,,
fact_error,true,M-03,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
fact_recall_gap,false,HI-01,false,,false,false,false,true,false,duplicate_alias,inactive,historical_concept_error,
figure_role_confusion,true,HI-05,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
forgot_divide_by_2,true,G-08,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
formula_error,true,G-08,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
formula_selection_error,true,G-06,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
fraction_compare_error,true,M-04,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
fraction_concept_error,false,,true,ייתכן שיש בלבול ביסודי בנושא השברים,false,false,false,false,false,needs_rewrite,inactive,,
fraction_operation_error,true,M-05,false,,false,false,false,true,false,duplicate_alias,PASS,common_denominator_error,alias_of:common_denominator_error
fraction_reciprocal_error,false,M-05,false,,false,false,false,true,false,inactive,inactive,,
fraction_simplification_error,false,M-05,false,,false,false,false,true,false,inactive,inactive,,
