child,subject,topic,q,accuracy,old_engine_decision,new_engine_decision,old_pattern,new_pattern,old_confidence,new_confidence,taxonomy_match,taxonomy_match_id,subskill_candidate,action_candidate,engine_confidence_tier,accuracy_band,why_changed
AAA1,english,"אוצר מילים - כיתה א׳",55,85,stable_or_strength,partial_stable,mixed_mistake_pattern,insufficient_mistake_evidence,0.45,0.32,true,E-01,"","",T4,partial_good,"decision:stable_or_strength->partial_stable; pattern:mixed_mistake_pattern->insufficient_mistake_evidence; confidence_shift; taxonomy_wired"
AAA2,hebrew,"קריאה - כיתה א׳",61,34,knowledge_gap,clear_topic_gap,mixed_mistake_pattern,procedure_break,0.45,0.8,true,H-04,"","",T4,clear_gap,"decision:knowledge_gap->clear_topic_gap; pattern:mixed_mistake_pattern->procedure_break; confidence_shift; taxonomy_wired; clear_gap_not_mixed"
AAA3,geometry,"שטח - כיתה ב׳",111,77,mixed_unclear,partial_stable,mixed_mistake_pattern,insufficient_mistake_evidence,0.45,0.32,true,G-03,"","",T4,partial_good,"decision:mixed_unclear->partial_stable; pattern:mixed_mistake_pattern->insufficient_mistake_evidence; confidence_shift; taxonomy_wired"
AAA4,math,"חיבור - כיתה ב׳",136,38,knowledge_gap,clear_topic_gap,mixed_mistake_pattern,procedure_break,0.45,0.8,true,M-02,"","",T4,clear_gap,"decision:knowledge_gap->clear_topic_gap; pattern:mixed_mistake_pattern->procedure_break; confidence_shift; taxonomy_wired; clear_gap_not_mixed"
AAA5,geometry,"שטח - כיתה ג׳",278,82,stable_or_strength,partial_stable,mixed_mistake_pattern,insufficient_mistake_evidence,0.45,0.32,true,G-03,"","",T4,partial_good,"decision:stable_or_strength->partial_stable; pattern:mixed_mistake_pattern->insufficient_mistake_evidence; confidence_shift; taxonomy_wired"
AAA6,science,"גוף האדם - כיתה ג׳",138,49,knowledge_gap,clear_topic_gap,mixed_mistake_pattern,concept_confusion,0.45,0.6000000000000001,false,,"","",T4,clear_gap,"decision:knowledge_gap->clear_topic_gap; pattern:mixed_mistake_pattern->concept_confusion; confidence_shift; clear_gap_not_mixed"
AAA7,english,"אוצר מילים - כיתה ד׳",313,25,knowledge_gap,clear_topic_gap,mixed_mistake_pattern,procedure_break,0.45,0.8,true,E-01,"","",T4,clear_gap,"decision:knowledge_gap->clear_topic_gap; pattern:mixed_mistake_pattern->procedure_break; confidence_shift; taxonomy_wired; clear_gap_not_mixed"
AAA8,english,"אוצר מילים - כיתה ד׳",59,59,knowledge_gap,topic_needs_strengthening,mixed_mistake_pattern,procedure_break,0.45,0.8,true,E-01,"","",T4,needs_strengthening,"decision:knowledge_gap->topic_needs_strengthening; pattern:mixed_mistake_pattern->procedure_break; confidence_shift; taxonomy_wired"
AAA9,hebrew,"קריאה - כיתה ה׳",187,35,knowledge_gap,clear_topic_gap,mixed_mistake_pattern,procedure_break,0.45,0.8,true,H-04,"","",T4,clear_gap,"decision:knowledge_gap->clear_topic_gap; pattern:mixed_mistake_pattern->procedure_break; confidence_shift; taxonomy_wired; clear_gap_not_mixed"
AAA10,math,"חיבור - כיתה ה׳",43,56,knowledge_gap,topic_needs_strengthening,mixed_mistake_pattern,concept_confusion,0.45,0.56,false,,"","",T3,needs_strengthening,"decision:knowledge_gap->topic_needs_strengthening; pattern:mixed_mistake_pattern->concept_confusion; confidence_shift"
AAA11,english,"אוצר מילים - כיתה ו׳",65,58,knowledge_gap,topic_needs_strengthening,mixed_mistake_pattern,procedure_break,0.45,0.66,true,E-01,"","",T4,needs_strengthening,"decision:knowledge_gap->topic_needs_strengthening; pattern:mixed_mistake_pattern->procedure_break; confidence_shift; taxonomy_wired"
AAA12,english,"אוצר מילים - כיתה ו׳",30,43,knowledge_gap,clear_topic_gap,mixed_mistake_pattern,procedure_break,0.45,0.66,true,E-01,"","",T3,clear_gap,"decision:knowledge_gap->clear_topic_gap; pattern:mixed_mistake_pattern->procedure_break; confidence_shift; taxonomy_wired; clear_gap_not_mixed"
