student,subject,topic,q,accuracy,engineDecisionBefore,engineDecisionAfter,adcActionBefore,adcActionAfter,reason
AAA1,math,addition::grade:g1,5,40,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA1,math,addition::grade:g1,10,30,clear_topic_gap,clear_topic_gap,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA1,math,subtraction::grade:g1,7,57,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA1,math,addition::grade:g1,15,33,clear_topic_gap,clear_topic_gap,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA1,math,subtraction::grade:g1,12,50,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA1,math,addition::grade:g1,21,48,clear_topic_gap,clear_topic_gap,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA1,math,subtraction::grade:g1,17,59,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA1,english,vocabulary::grade:g1,20,90,mastery_stable,mastery_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA1,hebrew,writing::grade:g1,17,88,partial_stable,partial_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA1,math,addition::grade:g1,25,56,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA1,math,subtraction::grade:g1,17,59,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA1,english,vocabulary::grade:g1,20,90,mastery_stable,mastery_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA1,hebrew,reading::grade:g1,29,90,mastery_stable,mastery_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA1,hebrew,writing::grade:g1,17,88,partial_stable,partial_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,geometry,volume::grade:g5,5,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,science,experiments::grade:g5,4,25,insufficient_data,insufficient_data,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,geometry,volume::grade:g5,10,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,geometry,angles::grade:g5,5,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,science,experiments::grade:g5,13,15,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
