book,page,from,to
english-g4,page-006.txt,פעולה שקורית עכשיו → Present Continuous: are + swimming.,פעולה שקורית עכשיו — Present Continuous: are + swimming.
english-g4,page-006.txt,the fish = ריבוי → are swimming.,the fish הוא ריבוי — משתמשים ב-are swimming.
english-g4,page-013.txt,he = יחיד זכר → מוסיפים es לפועל brush: brush → brushes.,he הוא יחיד זכר — מוסיפים es לפועל brush: brush הופך ל-brushes.
english-g4,page-027.txt,parents = הורים (ריבוי) → אחרי ריבוי לא מוסיפים s לפועל help.,parents הם הורים ברבים — אחרי ריבוי לא מוסיפים s לפועל help.
english-g4,page-034.txt,we = אנחנו → אחרי we לא מוסיפים s לפועל eat.,we פירושו אנחנו — אחרי we לא מוסיפים s לפועל eat.
english-g4,page-041.txt,the students = התלמידים (ריבוי) → אחרי ריבוי לא מוסיפים s לפועל listen.,the students הם התלמידים ברבים — אחרי ריבוי לא מוסיפים s לפועל listen.
english-g4,page-048.txt,now = עכשיו → פעולה מתמשכת → Present Continuous.,now פירושו עכשיו — פעולה מתמשכת בזמן הווה — Present Continuous.
english-g4,page-048.txt,they = ריבוי → are + playing.,they הוא ריבוי — משתמשים ב-are + playing.
english-g4,page-055.txt,מזג אוויר שמתרחש עכשיו → Present Continuous: is + פועל + ing.,מזג אוויר שמתרחש עכשיו — Present Continuous: is + פועל + ing.
english-g4,page-055.txt,snow → snowing; today = היום.,snow הופך ל-snowing; today פירושו היום.
english-g4,page-062.txt,in = בתוך/ב- → כשמדברים על מיקום בתוך מקום כמו town משתמשים ב in.,in פירושו בתוך או ב־. כשמדברים על מיקום בתוך מקום כמו town משתמשים ב-in.
english-g4,page-069.txt,we = אנחנו → אחרי we לא מוסיפים s לפועל protect.,we פירושו אנחנו — אחרי we לא מוסיפים s לפועל protect.
english-g4,page-083.txt,every Saturday = כל שבת → הרגל → Present Simple.,"every Saturday פירושו כל שבת — זה הרגל, ולכן משתמשים ב-Present Simple."
english-g4,page-090.txt,המילה now מראה פעולה שקורית עכשיו → Present Continuous.,המילה now מראה פעולה שקורית עכשיו — Present Continuous.
english-g4,page-090.txt,they = הם → are + playing.,they פירושו הם — משתמשים ב-are + playing.
english-g4,page-097.txt,books — שם עצם ספיר (ניתן לספור) → משתמשים ב many.,"books הוא שם עצם ספיר, כלומר אפשר לספור אותו, ולכן משתמשים ב-many."
english-g4,page-111.txt,Every day = כל יום → הרגל → Present Simple.,"Every day פירושו כל יום — זה הרגל, ולכן משתמשים ב-Present Simple."
english-g4,page-111.txt,he = יחיד זכר → מוסיפים s לפועל: drink → drinks.,he הוא יחיד זכר — מוסיפים s לפועל: drink הופך ל-drinks.
english-g5,page-006.txt,פועל סדיר בעבר: jump → jumped.,פועל סדיר בעבר: jump הופך ל-jumped.
english-g5,page-013.txt,פועל סדיר בעבר: visit → visited.,פועל סדיר בעבר: visit הופך ל-visited.
english-g5,page-020.txt,feel → felt (פועל חריג בעבר).,"feel הופך ל-felt בעבר, כי זה פועל חריג."
english-g5,page-027.txt,פועל סדיר בעבר: plant → planted.,פועל סדיר בעבר: plant הופך ל-planted.
english-g5,page-034.txt,grandparents = ריבוי → send (ללא s).,grandparents הוא ריבוי — משתמשים ב-send ללא s.
english-g5,page-041.txt,פועל סדיר בעבר: cook → cooked.,פועל סדיר בעבר: cook הופך ל-cooked.
english-g5,page-048.txt,פועל סדיר בעבר: present → presented.,פועל סדיר בעבר: present הופך ל-presented.
english-g5,page-083.txt,פעולה שהסתיימה בעבר → Past Simple: play → played.,פעולה שהסתיימה בעבר — Past Simple: play הופך ל-played.
english-g5,page-090.txt,going to = תוכנית קרובה → are going to + פועל.,going to מראה תוכנית קרובה — משתמשים ב-are going to + פועל.
english-g5,page-090.txt,they = ריבוי → are going to fly.,they הוא ריבוי — משתמשים ב-are going to fly.
english-g5,page-100.txt,קצר: big → bigger than,שם תואר קצר: big הופך ל-bigger than
english-g5,page-100.txt,ארוך: interesting → more interesting than,שם תואר ארוך: משתמשים ב-more interesting than
english-g5,page-104.txt,exciting = שם תואר ארוך (3+ הברות) → more exciting than.,exciting הוא שם תואר ארוך — משתמשים ב-more exciting than.
english-g5,page-118.txt,have → had (פועל חריג בעבר).,"have הופך ל-had בעבר, כי זה פועל חריג."
english-g5,page-125.txt,Last year = בשנה שעברה → פועל בעבר.,Last year פירושו בשנה שעברה — לכן משתמשים בפועל בעבר.
english-g5,page-146.txt,children = ריבוי → learn (ללא s).,children הוא ריבוי — משתמשים ב-learn ללא s.
english-g6,page-006.txt,פעולה מתמשכת בעבר → Past Continuous: were flying.,פעולה מתמשכת בעבר — Past Continuous: were flying.
english-g6,page-027.txt,temperatures = ריבוי → are rising (Present Continuous).,temperatures הוא ריבוי — משתמשים ב-are rising ב-Present Continuous.
english-g6,page-062.txt,organizations = ריבוי → help (ללא s).,organizations הוא ריבוי — משתמשים ב-help ללא s.
english-g6,page-069.txt,פועל סדיר בעבר: discover → discovered.,פועל סדיר בעבר: discover הופך ל-discovered.
english-g6,page-076.txt,פעולה מתמשכת ברקע → Past Continuous: were sitting.,פעולה מתמשכת ברקע — Past Continuous: were sitting.
english-g6,page-076.txt,אירוע שקרה באמצע → Past Simple: started.,אירוע שקרה באמצע — Past Simple: started.
english-g6,page-104.txt,שתי פעולות שהתרחשו במקביל → Past Continuous לשתיהן.,שתי פעולות שהתרחשו במקביל — משתמשים ב-Past Continuous לשתיהן.
english-g2,page-051.txt,friend — חבר/ה,friend — חבר או חברה
english-g2,page-072.txt,I am happy. — אני שמח/ה.,I am happy. — אני שמח או שמחה.
english-g2,page-142.txt,You are — אתה/את,You are — אתה או את
english-g3,page-006.txt,"אחרי she/he/it מוסיפים s לפועל — jumps, לא jump.","אחרי she, he או it מוסיפים s לפועל — jumps, לא jump."
english-g3,page-027.txt,"אחרי she/he/it מוסיפים s לפועל — feels, לא feel.","אחרי she, he או it מוסיפים s לפועל — feels, לא feel."
english-g3,page-048.txt,כל הכבוד! in = בתוך/ב-.,כל הכבוד! in פירושו בתוך או ב־.
english-g3,page-090.txt,אחרי she/he/it מוסיפים s לפועל — plays.,"אחרי she, he או it מוסיפים s לפועל — plays."
english-g3,page-097.txt,המבנה: The + שם עצם + is + in/on/under + the + שם עצם.,"המבנה: The + שם עצם + is + מילת מיקום כמו in, on או under + the + שם עצם."
english-g3,page-098.txt,עכשיו אתם משתמשים ב-a/an/the וב-in/on/under.,"עכשיו אתם משתמשים ב-a, an ו-the, וגם במילים in, on ו-under."
english-g4,page-065.txt,protect — לשמור/להגן,protect — לשמור או להגן
english-g4,page-085.txt,I read every day / I am reading now.,I read every day לעומת I am reading now.
english-g4,page-098.txt,"עכשיו אתם משתמשים ב-some, my ו-slowly/quickly.","עכשיו אתם משתמשים ב-some, my, slowly ו-quickly."
english-g5,page-020.txt,tired = עייף/ה; after the game = אחרי המשחק.,tired פירושו עייפים; after the game פירושו אחרי המשחק.
english-g5,page-069.txt,exercise = פעילות גופנית / להתאמן; every day = כל יום.,exercise כאן פירושו להתאמן; every day פירושו כל יום.
english-g5,page-093.txt,must / have to — חובה:,must ו-have to — חובה:
english-g5,page-106.txt,היום נחזק much/many — כמות עם שמות עצם ספירים ולא ספירים.,היום נחזק את ההבדל בין much ל-many — כמות עם שמות עצם ספירים ולא ספירים.
english-g6,page-002.txt,Past Continuous — was/were + פועל + ing:,"Past Continuous — משתמשים ב-was או were, ואחריהם פועל עם ing:"
english-g6,page-020.txt,proud = גאה/ים; after a win = אחרי ניצחון.,proud פירושו גאים; after a win פירושו אחרי ניצחון.
