id,subject,grade,book_or_page_id,section,file,line,exact_text,issue_type,severity,recommendation,needs_niqqud,rtl_sensitive
B-1-math,math,g1-g6,all_math_pages,metadata,docs/learning-book/math/g{N}/drafts/*.md,13,"| **approval_status** | draft |",governance_not_approved,blocker,"בעלים: לאשר תוכן (approved) או למשוך מהקטלוג לפני השקה; ה-loader אינו מסנן לפי אישור",no,no
B-1-geo,geometry,g1-g6,all_geometry_pages,metadata,docs/learning-book/geometry/g{N}/drafts/*.md,13,"| **approval_status** | draft |",governance_not_approved,blocker,"בעלים: לאשר תוכן או למשוך מהקטלוג לפני השקה",no,no
B-1-sci,science,g1-g6,all_science_pages,metadata,docs/learning-book/science/g{N}/drafts/*.md,13,"| **approval_status** | draft |",governance_not_approved,blocker,"בעלים: לאשר תוכן או למשוך מהקטלוג",no,no
B-1-title,math,g2,sub_vertical,metadata,docs/learning-book/math/g2/drafts/sub_vertical.md,14,"חיסור במאונך `[DRAFT — not owner-approved]`",draft_marker_in_source,medium,"הסימון מוסר ע""י cleanDisplayTitle ולכן לא דולף למסך; עדיין מעיד על תוכן לא מאושר ששודר",no,no
B-2,hebrew,g1,g1.basic_niqqud,2-הסבר,docs/learning-book/hebrew/g1/drafts/g1.basic_niqqud.md,40,"סֶגוֹל — צליל קצר של א",content_accuracy_error,blocker,"שגוי: סגול הוא צליל /e/ (אֶ) ולא צליל של א; לתקן ניסוח התנועה",yes,no
HE-2-kamatz,hebrew,g1,g1.basic_niqqud,2-הסבר,docs/learning-book/hebrew/g1/drafts/g1.basic_niqqud.md,37,"קָמַץ — צליל א",niqqud_name_spelling,medium,"הכתיב המקובל קָמָץ; אימות מומחה עברית",yes,no
HE-2-patach,hebrew,g1,g1.basic_niqqud,2-הסבר,docs/learning-book/hebrew/g1/drafts/g1.basic_niqqud.md,38,"פַּתַח — צליל א",niqqud_name_spelling,medium,"הכתיב המקובל פַּתָח; אימות מומחה עברית",yes,no
HE-3,hebrew,g1,g1.phoneme_awareness,2-הסבר,docs/learning-book/hebrew/g1/drafts/g1.phoneme_awareness.md,39,"דוגמה: בַּת וְפַּת — ההתחלה שונה.",niqqud_vav_conjunction,medium,"וי""ו לפני בומ""ף → שורוק (וּפַת); שורה 40 כבר עושה זאת נכון (וּבַר); אימות מומחה",yes,no
HE-4,hebrew,g1,g1.phoneme_awareness,1-מה לומדים,docs/learning-book/hebrew/g1/drafts/g1.phoneme_awareness.md,28,"היום נלמד בעברית להקשיב לצלילים במילים.",no_niqqud_on_instructions,low,"החלטת מדיניות: האם הוראות לכיתה א׳ צריכות ניקוד או הסתמכות על הקראה",yes,no
HE-5,math,g2,sub_vertical,1-מה לומדים,docs/learning-book/math/g2/drafts/sub_vertical.md,28,"מחליפים עשרה אחת ב 10 אחדות",typography_inconsistency,low,"תקן אחיד: ""ב-10"" עם מקף (מול ""ב-2"" בעמודים אחרים)",no,yes
HE-6,hebrew,g1,g1.phoneme_awareness,4-בואו נפתור,docs/learning-book/hebrew/g1/drafts/g1.phoneme_awareness.md,53,"## 4. בואו נפתור",style_word_choice,low,"""נפתור"" בעמוד קריאה/צלילים — ניסוח מתמטי; סגנוני בלבד",no,no
NQ-1,hebrew,g1,g1.sound_letter_match,2-הסבר,docs/learning-book/hebrew/g1/drafts/g1.sound_letter_match.md,36,"האות מ נשמעת מ.",single_letter_tts_risk,medium,"אות בודדת ""מ"" — TTS עלול לקרוא שם-אות/אות סופית במקום הצליל; להוסיף ניקוד או ניסוח (""הצליל מְ"")",yes,no
NQ-2,hebrew,g1,g1.phoneme_awareness,3-דוגמה,docs/learning-book/hebrew/g1/drafts/g1.phoneme_awareness.md,47,"המילה הראשונה מתחילה במ.",single_letter_tts_risk,medium,"""במ"" אות בודדת מחוברת ללא ניקוד — סיכון הגייה ב-TTS",yes,no
RTL-1,geometry,g4,shapes_basic_properties_angles,2-הסבר,docs/learning-book/geometry/g4/drafts/shapes_basic_properties_angles.md,42,"סכום הזוויות בריבוע: 4 × 90° = 360°.",rtl_degree_symbol,medium,"QA חזותי: סימן ° אינו בזיהוי המתמטיקה (book-math-display.js); לוודא סדר ומיקום בדפדפן",no,yes
RTL-1b,geometry,g4,shapes_basic_properties_angles,3-דוגמה,docs/learning-book/geometry/g4/drafts/shapes_basic_properties_angles.md,51,"פינה עליונה שמאל: 90°",rtl_degree_symbol,low,"QA חזותי לערכי מעלות בשורות תווית",no,yes
RTL-2,geometry,g6,circle_area,1-מה לומדים,docs/learning-book/geometry/g6/drafts/circle_area.md,29,"שטח = **π × רדיוס²**.",rtl_pi_superscript,medium,"QA חזותי: π (יווני) ו-² (חזקה-על) צמודים לעברית; ""רדיוס²"" לא נתפס כמתמטיקה",no,yes
RTL-3,geometry,g6,circle_area,1-מה לומדים,docs/learning-book/geometry/g6/drafts/circle_area.md,31,"בשיעור: **π ≈ 3.14**.",rtl_approx_symbol,medium,"QA חזותי: ≈ ו-π ניטרליים/LTR ליד עברית RTL",no,yes
RTL-3b,geometry,g6,circle_area,3-דוגמה,docs/learning-book/geometry/g6/drafts/circle_area.md,53,"3.14 × 16 = **50.24 סמ״ר**",rtl_decimal_units,low,"QA חזותי: מספר עשרוני + יחידה עברית מקוצרת",no,yes
RTL-4,geometry,g5,triangle_area,1-מה לומדים,docs/learning-book/geometry/g5/drafts/triangle_area.md,29,"שטח = **בסיס × גובה ÷ 2**.",rtl_mixed_formula,low,"נוסחה מילים עברית+אופרטורים+ספרה; מטופל ב-splitFormulaTokens אך לבדוק חזותית",no,yes
RTL-5,math,g2,wp_coins_spent,3-דוגמה,docs/learning-book/math/g2/drafts/wp_coins_spent.md,50,"**נועה שילמה 50 ₪, הספר עלה 35 ₪:**",rtl_shekel_numbers,low,"₪ נתפס בזיהוי; לבדוק יישור חזותי במובייל",no,yes
RTL-6,math,g2,sub_vertical,3-דוגמה,docs/learning-book/math/g2/drafts/sub_vertical.md,52,"  4 12 / 52 / − 27 / ---- / 25 (code block מאונך)",rtl_vertical_arithmetic,low,"חיסור במאונך ב-code block dir=ltr; QA יישור במובייל 360px",no,yes
INFO-audio,geometry,g1-g6,all_geometry_pages,7-בואו נתרגל,lib/learning-book/audio/prepare-learning-book-audio-text.js,57,"אין dispatcher אודיו לגאומטריה",audio_coverage_gap,low,"אין הקראה לגאומטריה/חשבון g2+/עברית g2+; נגן לא מוצג (לא כפתור שבור)",no,no
