screenshot,route,subject,surface,grade,pageId,sectionIndex,sectionTotal,sectionTitle,selectionReason,matchedSignals,pass,issue,suspectFile,viewport,id
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-ns_place_tens_units-s3-mobile.png","/learning/book/math/g1/ns_place_tens_units","math","books-math","g1","ns_place_tens_units","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, −/-, טבלה (עברית), דוגמה/פתרון","PASS","","","mobile","book-math-g1-ns_place_tens_units-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-ns_place_tens_units-s2-mobile.png","/learning/book/math/g1/ns_place_tens_units","math","books-math","g1","ns_place_tens_units","2","7","הסבר","מכיל תרגילים/דוגמאות; מכיל שוויון","=, −/-, דוגמה/פתרון","PASS","","","mobile","book-math-g1-ns_place_tens_units-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-ns_place_tens_units-s4-mobile.png","/learning/book/math/g1/ns_place_tens_units","math","books-math","g1","ns_place_tens_units","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, −/-, דוגמה/פתרון","PASS","","","mobile","book-math-g1-ns_place_tens_units-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-cmp-s3-mobile.png","/learning/book/math/g1/cmp","math","books-math","g1","cmp","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, −/-, < >, דוגמה/פתרון","PASS","","","mobile","book-math-g1-cmp-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-cmp-s2-mobile.png","/learning/book/math/g1/cmp","math","books-math","g1","cmp","2","7","הסבר","מכיל שוויון","=, −/-, < >","PASS","","","mobile","book-math-g1-cmp-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-cmp-s7-mobile.png","/learning/book/math/g1/cmp","math","books-math","g1","cmp","7","7","בואו נתרגל","מכיל תרגילים/דוגמאות; מכיל שוויון","=, < >, תרגיל","PASS","","","mobile","book-math-g1-cmp-s7"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-cmp-s4-mobile.png","/learning/book/math/g1/cmp","math","books-math","g1","cmp","4","7","בואו נפתור","מכיל תרגילים/דוגמאות","−/-, < >, דוגמה/פתרון","PASS","","","mobile","book-math-g1-cmp-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-add_two-s2-mobile.png","/learning/book/math/g1/add_two","math","books-math","g1","add_two","2","7","הסבר","מכיל תרגילים/דוגמאות; מכיל שוויון; מכיל יחידות מדידה","=, +, סמ״ר/מ״ר, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g1-add_two-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-add_two-s4-mobile.png","/learning/book/math/g1/add_two","math","books-math","g1","add_two","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, −/-, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g1-add_two-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-add_two-s5-mobile.png","/learning/book/math/g1/add_two","math","books-math","g1","add_two","5","7","נסו בעצמכם","מכיל שוויון","=, +, −/-, משוואה","PASS","","","mobile","book-math-g1-add_two-s5"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-add_two-s3-mobile.png","/learning/book/math/g1/add_two","math","books-math","g1","add_two","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g1-add_two-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-sub_two-s4-mobile.png","/learning/book/math/g1/sub_two","math","books-math","g1","sub_two","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון; מכיל יחידות מדידה","=, −/-, →, ס""מ, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g1-sub_two-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-sub_two-s2-mobile.png","/learning/book/math/g1/sub_two","math","books-math","g1","sub_two","2","7","הסבר","מכיל תרגילים/דוגמאות; מכיל שוויון; מכיל יחידות מדידה","=, −/-, סמ״ר/מ״ר, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g1-sub_two-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-sub_two-s3-mobile.png","/learning/book/math/g1/sub_two","math","books-math","g1","sub_two","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, −/-, →, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g1-sub_two-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-sub_two-s5-mobile.png","/learning/book/math/g1/sub_two","math","books-math","g1","sub_two","5","7","נסו בעצמכם","מכיל שוויון","=, −/-, משוואה","PASS","","","mobile","book-math-g1-sub_two-s5"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-mul-s3-mobile.png","/learning/book/math/g1/mul","math","books-math","g1","mul","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, ×, →, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g1-mul-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-mul-s2-mobile.png","/learning/book/math/g1/mul","math","books-math","g1","mul","2","7","הסבר","מכיל שוויון; מכיל יחידות מדידה","=, +, ×, סמ״ר/מ״ר, משוואה","PASS","","","mobile","book-math-g1-mul-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-mul-s4-mobile.png","/learning/book/math/g1/mul","math","books-math","g1","mul","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, ×, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g1-mul-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g1-mul-s6-mobile.png","/learning/book/math/g1/mul","math","books-math","g1","mul","6","7","שימו לב!","מכיל שוויון","=, +, ×, משוואה","PASS","","","mobile","book-math-g1-mul-s6"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-ns_place_tens_units-s2-mobile.png","/learning/book/math/g2/ns_place_tens_units","math","books-math","g2","ns_place_tens_units","2","7","הסבר","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, −/-, דוגמה/פתרון, משוואה, 1,000","PASS","","","mobile","book-math-g2-ns_place_tens_units-s2"
