id,subject,grade,activity_type,question_type,question_text,answers,correct_answer,hint,feedback_correct,feedback_incorrect,explanation,source_file,source_line,source_function,rendered_route_or_flow,answer_leak,hint_leaks_answer,hebrew_quality_problem,rtl_problem,student_risk,severity,required_fix,owner_decision
HQ-001,math,g2,self_practice,mcq,"השוו בין שני המספרים והשלימו סימן (<, =, >): 3 ? 5","< | = | >",<,"",נכון!,"לא נכון 😔 התשובה הנכונה: <","",utils/math-question-generator.js,121-124,applyMathLevelPresentation,/learning/math-master,true,false,false,true,"אם הכיווניות נשברת, הילד עלול לטעות ביחס גדול/קטן",BLOCKER,"להוסיף בידוד LTR קשיח ל-< > גם במסלול טקסט מעורב ולהחיל נרמול מלא",BLOCK_LAUNCH
HQ-002,math,g5,self_practice,numeric,"בשברים עם מכנה זהה 7: מה צריך לעשות כדי לחבר את המונים (למשל 2/7+1/7)? = בחרו תשובה","לחבר את המונים כשהמכנה כבר שווה | להכפיל את המונים תמיד | לחבר מכנים בלי לשנות מונה | לאחד מכנים לפני שבודקים את המונה","לחבר את המונים כשהמכנה כבר שווה","",נכון!,"לא נכון 😔 התשובה הנכונה: לחבר את המונים כשהמכנה כבר שווה","הסבר מוצג אחרי בדיקה",utils/math-question-generator.js,1015-1022,tryMathDiagnosticProbeExercise,/learning/math-master,false,false,false,false,"קריא וברור; סיכון נמוך לניסוח",LOW,"ללא חסם; לשמור על עקביות נוסח",ACCEPT
HQ-003,math,g4,self_practice,numeric,"אחוזים (קל): כמה זה 25% מתוך 80? = ___","","20","",נכון!,"לא נכון 😔 התשובה הנכונה: 20","",utils/math-question-generator.js,287-301,applyMathLevelPresentation,/learning/math-master,false,false,false,false,"שאלה תקינה; דורשת דיוק אחוזים בלבד",LOW,"ללא חסם",ACCEPT
HQ-004,math,g4,self_practice,numeric,"קנה מידה 1:50 — כל 2 ס""מ במפה שווים לכמה ס""מ במציאות? = ___","","100","",נכון!,"לא נכון 😔 התשובה הנכונה: 100","",utils/math-question-generator.js,91-111,applyMathLevelPresentation,/learning/math-master,false,false,false,true,"ערבוב עברית+מספר+יחידה רגיש לסדר תצוגה",HIGH,"להוסיף בידוד טוקנים מספריים ויחידות כדי למנוע החלפת סדר",OWNER_REVIEW
HQ-005,geometry,g5,self_practice,numeric,"משולש: בסיס 8, גובה 6. שטח = חצי × בסיס × גובה. מה התוצאה?","","24","",Correct! 🎉,"Wrong! Correct answer: 24 ❌","הסבר מוצג במסך פתרון",utils/geometry-question-generator.js,674-683,generateQuestion,/learning/geometry-master,true,false,false,true,"דליפת תשובה במשוב שגוי + אנגלית + סיכון RTL בנוסחה",BLOCKER,"להחליף משוב לעברית ולבטל הצגת תשובה מלאה לפני פתרון עצמי",BLOCK_LAUNCH
HQ-006,geometry,g3,self_practice,mcq,"זיהוי: ארבע צלעות שוות (4), ארבע זוויות ישרות. ריבוע או מלבן? (1=ריבוע, 2=מלבן)","1 | 2",1,"",Correct! 🎉,"Wrong! Correct answer: 1 ❌","",utils/geometry-question-generator.js,1314-1318,generateQuestion,/learning/geometry-master,true,false,true,false,"השאלה בודקת מיפוי אינדקסים ולא ידע גאומטרי נקי",HIGH,"לבטל פורמט אינדקסים בתוך ה-stem ולהציג בחירה ישירה בכפתורים",OWNER_REVIEW
HQ-007,geometry,g4,self_practice,mcq,"כמה צלעות שוות יש לריבוע? (1 = 2, 2 = 3, 3 = 4, 4 = אין צלעות שוות)","1 | 2 | 3 | 4",3,"",Correct! 🎉,"Wrong! Correct answer: 3 ❌","",utils/geometry-question-generator.js,1392-1400,generateQuestion,/learning/geometry-master,true,false,true,false,"מסיחים דומים אך ממשק אינדקסי מבלבל ילדים צעירים",MEDIUM,"להציג ערכי תשובה עצמם במקום אגדה מספרית",OWNER_REVIEW
HQ-008,geometry,g4,self_practice,mcq,"לפי השם ""שווה צלעות"" — איזה מספר מתאים? (1 = שווה צלעות, 2 = שווה שוקיים, 3 = שונה צלעות)","1 | 2 | 3",1,"",Correct! 🎉,"Wrong! Correct answer: 1 ❌","",utils/geometry-question-generator.js,1522-1529,generateQuestion,/learning/geometry-master,true,false,true,false,"התשובה מופיעה בגוף השאלה ולכן נבחן ניסוח ולא ידע",BLOCKER,"לנסח לפי תכונות גאומטריות ולא לפי התאמת מילה לעצמה",BLOCK_LAUNCH
HQ-009,science,g2,self_practice,mcq,"למה רושמים תוצאות בטבלה?","כדי להשוות ולזהות דפוסים | כדי למחוק | כדי לא לחזור | כדי לשנות השערה","כדי להשוות ולזהות דפוסים","",נכון!,"לא נכון 😔 התשובה הנכונה: כדי להשוות ולזהות דפוסים","תיעוד מסייע בניתוח.",data/science-questions-p0-g123-fill.js,2967-2976,SCIENCE_QUESTIONS static row,/learning/science-master,false,false,false,false,"שאלת טבלה תקינה וברורה",LOW,"ללא חסם",ACCEPT
HQ-010,hebrew,g3,self_practice,mcq,"קרא את הטקסט: 'בבוקר הכיתה מדדה אורך השולחן. אחר כך רשמה את המספר בטבלה.' למה מדדו את השולחן?","כדי לרשום מדידה בטבלה | כדי לצבוע את הקיר | כדי לשיר שיר | כדי לפתוח חלון","כדי לרשום מדידה בטבלה","",נכון!,"לא נכון 😔 התשובה הנכונה: כדי לרשום מדידה בטבלה","",data/hebrew-questions/g3.js,348-356,HEBREW_QUESTIONS_G3 static row,/learning/hebrew-master,false,false,false,false,"שאלה ברורה ומתאימה לגיל",LOW,"ללא חסם",ACCEPT
HQ-011,english,g1,self_practice,mcq,"Please sit down / בבקשה שבו","Open your notebook | Please sit down | Thank you, teacher | Good morning, class","Please sit down","",Correct! 🎉,"Wrong! Correct answer: Please sit down ❌","",data/english-questions/translation-pools.js,7-13,TRANSLATION_POOLS static row,/learning/english-master,true,false,true,false,"הוראה דו-לשונית קיימת, אך המשוב באנגלית בלבד פוגע בזרימה",HIGH,"להציג משוב עברי מלא גם בשאלות אנגלית לכיתות נמוכות",OWNER_REVIEW
HQ-012,hebrew,g1,self_practice,free_text,"המילה מופיעה כאן: 'ספר' — הקלידו בדיוק את המילה (בלי רווחים מיותרים):","ספר","ספר","",נכון!,"לא נכון 😔 התשובה הנכונה: ספר","",utils/hebrew-question-generator.js,540-547,finalizeHebrewMcq,/learning/hebrew-master,true,false,false,false,"תרגול הקלדה טוב, אך דליפת תשובה אחרי טעות מחלישה למידה",MEDIUM,"במצבי למידה ראשיים להציג רמז מדורג במקום תשובה מלאה מיידית",OWNER_REVIEW
HQ-013,math,g2,self_practice,hint,"תרגיל חיבור בסיסי","",12,"💡 נסה לחשוב על זה כך... נסה לספור ... עד 12!",נכון!,"לא נכון","",utils/math-explanations.js,789-795,getHint,/learning/math-master,false,true,false,false,"רמז נותן את התשובה עצמה ולכן מבטל בדיקת ידע",BLOCKER,"להסיר את הערך הסופי מהרמז ולהשאיר הנחיה תהליכית בלבד",BLOCK_LAUNCH
HQ-014,assigned,multi,assigned_activity,hint,"רמז מוצג בשלב פעילות מונחית","לפי currentQuestion.choices","לפי currentQuestion.correctAnswer","רמז: {currentQuestion.hint}",נכון!,"לא נכון","feedback.explanation מוצג אחרי תשובה",pages/student/activity/[activityId].js,451-466,renderAnswerFeedback,/student/activity/[activityId],false,false,false,false,"תלוי איכות hint מהמקור; יש סיכון לדליפה אם הבנק לא מוגן",HIGH,"לאכוף hint בלי תשובה מפורשת ברמת שרת לפני שמירה/הצגה",OWNER_REVIEW
HQ-015,assigned,multi,assigned_activity,feedback_correct,"בדיקת תשובה נכונה בפעילות שהוקצתה","",true,"","נכון!","",json.explanation אופציונלי,pages/student/activity/[activityId].js,304-307,submitAnswer,/student/activity/[activityId],false,false,false,false,"משוב תקין בעברית",LOW,"ללא חסם",ACCEPT
