export txt|source markdown|section block|can sync|note
exports/audio-text/books/english/english-g1/pages/page-006.txt|docs/learning-book/english/g1/drafts/letters_upper.md|## 6. בואו נבדוק יחד (topicId=letters_upper, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-013.txt|docs/learning-book/english/g1/drafts/letters_lower.md|## 6. בואו נבדוק יחד (topicId=letters_lower, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-020.txt|docs/learning-book/english/g1/drafts/letters_match.md|## 6. בואו נבדוק יחד (topicId=letters_match, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-034.txt|docs/learning-book/english/g1/drafts/phonics_sounds.md|## 6. בואו נבדוק יחד (topicId=phonics_sounds, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-041.txt|docs/learning-book/english/g1/drafts/phonics_first_sound.md|## 6. בואו נבדוק יחד (topicId=phonics_first_sound, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-048.txt|docs/learning-book/english/g1/drafts/classroom_words.md|## 6. בואו נבדוק יחד (topicId=classroom_words, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-055.txt|docs/learning-book/english/g1/drafts/first_words_simple.md|## 6. בואו נבדוק יחד (topicId=first_words_simple, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-062.txt|docs/learning-book/english/g1/drafts/first_words_cvc.md|## 6. בואו נבדוק יחד (topicId=first_words_cvc, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-069.txt|docs/learning-book/english/g1/drafts/picture_word_match.md|## 6. בואו נבדוק יחד (topicId=picture_word_match, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
exports/audio-text/books/english/english-g1/pages/page-074.txt|docs/learning-book/english/g1/drafts/listening_classroom.md|## 4. בואו נפתור (topicId=listening_classroom, section 4/7, UI title: בואו נפתור)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2
exports/audio-text/books/english/english-g1/pages/page-076.txt|docs/learning-book/english/g1/drafts/listening_classroom.md|## 6. בואו נבדוק יחד (topicId=listening_classroom, section 6/7, UI title: בואו נבדוק יחד)|partial|החלפת עמוד מלא לשמע — צריך להתאים חזרה לפורמט markdown (7 sections), לא העתקה 1:1; passes: MANUAL-G1G2, PASS14
exports/audio-text/books/english/english-g1/pages/page-083.txt|docs/learning-book/english/g1/drafts/listening_commands.md|## 6. בואו נבדוק יחד (topicId=listening_commands, section 6/7, UI title: בואו נבדוק יחד)|partial|בדיקה לפי export מ-md מול txt מתוקן; passes: PASS14
