row_number,id,audience,source_file,source_line,surface,section,decision_type,engine_meaning_plain_he,before_in_context,context_confidence,notes
1,SD-HE-00076,mixed_or_unclear,lib/platform-ui/hebrew-display-labels.js,85,decision_general,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"בממשק החלטות
אזור: general
סוג החלטה: other
כפי שמופיע: החלפת קוד PIN",high,
2,SD-HE-00101,parent,pages/api/parent/create-student-access-code.js,38,api_layer,validation_error,validation_error,הודעת חסימה/שגיאה שמונעת פעולה.,"בהודעת API למשתמש
אזור: validation_error
סוג החלטה: validation_error
כפי שמופיע: בהודעת מערכת: PIN לא תקין",high,
3,SD-HE-00897,parent,utils/parent-copilot/contract-reader.js,269,parent_copilot,data_sufficiency,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: data_sufficiency
סוג החלטה: ai_answer
כפי שמופיע: עדיין אין מספיק נתונים כדי להסיק מסקנה חזקה. כדאי לבדוק שוב אחרי עוד תרגול.",high,
4,SD-HE-01079,parent,utils/parent-copilot/direct-answer-openers.js,54,parent_copilot,progression,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: progression
סוג החלטה: ai_answer
כפי שמופיע: עצירת קידום ברמה קשורה בדרך כלל לניסוח שעדיין לא נסגר בדוח — לא בהכרח כישלון.",high,
5,SD-HE-01090,parent,utils/parent-copilot/evidence-polarity.js,48,parent_copilot,general,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: general
סוג החלטה: ai_answer
כפי שמופיע: ב… יש … שאלות בלבד — עדיין מוקדם לסגור מסקנה חזקה.",medium,placeholders substituted
6,SD-HE-01113,parent,utils/parent-copilot/index.js,163,parent_copilot,data_sufficiency,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: data_sufficiency
סוג החלטה: ai_answer
כפי שמופיע: יש כרגע מעט נתוני תרגול, ולכן אין עדיין מספיק מידע למסקנה חזקה.",high,
7,SD-HE-01148,parent,utils/parent-copilot/intent-answer-composers.js,377,parent_copilot,general,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: general
סוג החלטה: ai_answer
כפי שמופיע: ב… יש עדיין מעט תרגול (… שאלות) — מוקדם לסגור מסקנה חדה.",medium,placeholders substituted
8,SD-HE-01340,parent,utils/parent-copilot/parent-coaching-packs.js,126,parent_copilot,progression,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: progression
סוג החלטה: ai_answer
כפי שמופיע: החלטה של קידום מול המתנה טובה כשהיא נשענת על אותם אותות שבדוח, לא על תחושת בטן בלבד.",high,
9,SD-HE-01447,parent,utils/parent-copilot/question-classifier.js,121,parent_copilot,general,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: general
סוג החלטה: ai_answer
כפי שמופיע: ירידה",high,
10,SD-HE-01621,parent,utils/parent-copilot/scope-resolver.js,468,parent_copilot,general,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: general
סוג החלטה: ai_answer
כפי שמופיע: בדוח אין כרגע מספיק שאלות מעוגנות כדי לענות בצורה מדויקת — הנתונים עדיין מצומצמים ומוקדם למסקנה חזקה. כדאי לצבור עוד קצת תרגול בטווח התאריכים (למשל 5–8 שאלות ממוקדות בשבוע), ואז לנסות שוב.",high,
