severity,category,book,page,path,issue,evidence,recommendation
Critical,Hebrew correctness,hebrew-g1,page-096.txt,audio-text/books/hebrew-g1/pages/page-096.txt,"שגיאת עברית/ניקוד: ""הַסֵּפֶר עָמֹד"".",הַסֵּפֶר | עָמֹד | עַל | הַמַּדָּף | בַּחֶדֶר | הָאַחֵר | — | כָּאן | אוֹ | שָׁם? | נסו | לפתור | בעצמכם. | בעמוד | הבא | נבדוק | יחד | את | הדרך | ואת | התשובה.,"להחליף ל: ""הַסֵּפֶר מוּנָח עַל הַמַּדָּף..."" או ""הַסֵּפֶר נִמְצָא עַל הַמַּדָּף..."""
Critical,Content correctness,math-g1,page-073.txt,audio-text/books/math-g1/pages/page-073.txt,"דוגמת חיבור מערבבת שלושה תרגילים שונים: כותרת 9+12, ציר 14+8, ובציור/מלל מספרים לא תואמים.",9 | גולות | + | 12 | גולות: | על | ציר | המספרים | — | 14 | + | 8: | דוגמה | מחיי | היום | יום: | יש | לי | 9 | מדבקות. | קיבלתי | עוד | 12. | עכשיו | 9 | + | 12 | = | 21 | מדבקות. | ● | ● | ● | ● | ● | ● | ● | ● | ● | +,"להחליף את כל העמוד לדוגמה אחת עקבית. מומלץ: ""9 + 12: 9 + 10 = 19, ועוד 2 = 21. לכן 9 + 12 = 21."""
Critical,Content correctness,math-g1,page-080.txt,audio-text/books/math-g1/pages/page-080.txt,"דוגמת חיסור מערבבת 8−3, ציר 7−2, ודוגמה מילולית 9−4. התוצאה אמנם 5, אבל ההסבר לא עקבי.","8 | מדבקות, | לקחו | 3: | 3 | נלקחו, | 5 | נשארו. | על | ציר | המספרים | — | 7 | − | 2: | דוגמה | מהחיים: | היו | לי | 9 | בלונים. | 4 | עפו. | נשארו | 9 | − | 4 | = | 5 | בלונים. | ● | ● | ● | ● | ● | ● | ● | ● | ← | 8 ","להחליף לדוגמה אחת עקבית בלבד: ""היו 8 מדבקות. לקחו 3. נשארו 5. 8 − 3 = 5."""
High,Duplicate text,english-g1,page-088.txt,audio-text/books/english-g1/pages/page-088.txt,"שורה זהה מופיעה פעמיים ברצף: ""blue""",מה | הצבע | של | שמיים | בהירים | ביום | יפה? | חושבים | על | הצבע | — | כחול. | בוחרים | את | המילה | באנגלית: | blue | blue,להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g1,page-095.txt,audio-text/books/english-g1/pages/page-095.txt,"שורה זהה מופיעה פעמיים ברצף: ""three""",מה | המספר | 3 | באנגלית? | 3 | בעברית. | המילה | באנגלית: | three | three,להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g1,page-102.txt,audio-text/books/english-g1/pages/page-102.txt,"שורה זהה מופיעה פעמיים ברצף: ""dad""",מה | המילה | לאבא | באנגלית? | חושבים | על | אבא. | dad | dad,להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g1,page-109.txt,audio-text/books/english-g1/pages/page-109.txt,"שורה זהה מופיעה פעמיים ברצף: ""dog""",מה | המילה | לכלב | באנגלית? | כלב. | dog | dog,להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g1,page-116.txt,audio-text/books/english-g1/pages/page-116.txt,"שורה זהה מופיעה פעמיים ברצף: ""happy""",מה | המילה | לשמח | באנגלית? | שמח. | happy | happy,להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g1,page-123.txt,audio-text/books/english-g1/pages/page-123.txt,"שורה זהה מופיעה פעמיים ברצף: ""run""",מה | המילה | לרוץ | באנגלית? | לרוץ. | run | run,להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g1,page-130.txt,audio-text/books/english-g1/pages/page-130.txt,"שורה זהה מופיעה פעמיים ברצף: ""book""",מה | המילה | לספר | באנגלית? | ספר. | book | book,להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g1,page-137.txt,audio-text/books/english-g1/pages/page-137.txt,"שורה זהה מופיעה פעמיים ברצף: ""I am happy""","איך | אומרים | ""אני | שמח"" | באנגלית? | מתחילים | ב-I | am. | מוסיפים | happy. | I | am | happy | I | am | happy",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g1,page-144.txt,audio-text/books/english-g1/pages/page-144.txt,"שורה זהה מופיעה פעמיים ברצף: ""I am sad""","בנו | משפט | ""אני | עצוב"". | I | am | sad | I | am | sad | I | am | sad",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g1,page-151.txt,audio-text/books/english-g1/pages/page-151.txt,"שורה זהה מופיעה פעמיים ברצף: ""Hello""","איך | אומרים | ""שלום"" | באנגלית? | Hello | Hello",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-039.txt,audio-text/books/english-g2/pages/page-039.txt,"שורה זהה מופיעה פעמיים ברצף: ""sit""",קראו | sit | שומעים | לאט: | s | … | i | … | t | sit | sit,להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-081.txt,audio-text/books/english-g2/pages/page-081.txt,"שורה זהה מופיעה פעמיים ברצף: ""The pen is blue""","איך | אומרים | ""העט | כחול""? | The | pen | is | blue | The | pen | is | blue | The | pen | is | blue",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-088.txt,audio-text/books/english-g2/pages/page-088.txt,"שורה זהה מופיעה פעמיים ברצף: ""I am seven""","איך | אומרים | ""אני | בן | שבע""? | I | am | seven | I | am | seven",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-095.txt,audio-text/books/english-g2/pages/page-095.txt,"שורה זהה מופיעה פעמיים ברצף: ""This is my dad""","איך | אומרים | ""זה | אבא | שלי""? | This | is | my | dad | This | is | my | dad",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-102.txt,audio-text/books/english-g2/pages/page-102.txt,"שורה זהה מופיעה פעמיים ברצף: ""I see a dog""","איך | אומרים | ""אני | רואה | כלב""? | I | see | a | dog | I | see | a | dog",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-109.txt,audio-text/books/english-g2/pages/page-109.txt,"שורה זהה מופיעה פעמיים ברצף: ""I am sad""","איך | אומרים | ""אני | עצוב""? | I | am | sad | I | am | sad",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-116.txt,audio-text/books/english-g2/pages/page-116.txt,"שורה זהה מופיעה פעמיים ברצף: ""I jump""","איך | אומרים | ""אני | קופץ""? | I | jump | I | jump",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-123.txt,audio-text/books/english-g2/pages/page-123.txt,"שורה זהה מופיעה פעמיים ברצף: ""I have a book""","איך | אומרים | ""יש | לי | ספר""? | I | have | a | book | I | have | a | book",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-130.txt,audio-text/books/english-g2/pages/page-130.txt,"שורה זהה מופיעה פעמיים ברצף: ""apple""",מה | המילה | לתפוח? | apple | apple,להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-137.txt,audio-text/books/english-g2/pages/page-137.txt,"שורה זהה מופיעה פעמיים ברצף: ""bed""",מה | המילה | למיטה? | bed | bed,להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-144.txt,audio-text/books/english-g2/pages/page-144.txt,"שורה זהה מופיעה פעמיים ברצף: ""She is happy""","איך | אומרים | ""היא | שמחה""? | She | is | happy | She | is | happy",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-151.txt,audio-text/books/english-g2/pages/page-151.txt,"שורה זהה מופיעה פעמיים ברצף: ""cats""","מה | המילה | ל""חתולים""? | cats | cats",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-158.txt,audio-text/books/english-g2/pages/page-158.txt,"שורה זהה מופיעה פעמיים ברצף: ""I am seven""","בנו | ""אני | בן | שבע"". | I | am | seven | I | am | seven",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-165.txt,audio-text/books/english-g2/pages/page-165.txt,"שורה זהה מופיעה פעמיים ברצף: ""I wake up""","איך | אומרים | ""אני | מתעורר""? | I | wake | up | I | wake | up",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-172.txt,audio-text/books/english-g2/pages/page-172.txt,"שורה זהה מופיעה פעמיים ברצף: ""Thank you""","איך | אומרים | ""תודה""? | Thank | you | Thank | you",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g2,page-179.txt,audio-text/books/english-g2/pages/page-179.txt,"שורה זהה מופיעה פעמיים ברצף: ""I eat breakfast""","איך | אומרים | ""אני | אוכל | ארוחת | בוקר""? | I | eat | breakfast | I | eat | breakfast",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-004.txt,audio-text/books/english-g3/pages/page-004.txt,"שורה זהה מופיעה פעמיים ברצף: ""I play""","איך | אומרים | ""אני | משחק""? | I | play | I | play",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-011.txt,audio-text/books/english-g3/pages/page-011.txt,"שורה זהה מופיעה פעמיים ברצף: ""The dog runs""","איך | אומרים | ""הכלב | רץ""? | The | dog | runs | The | dog | runs",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-018.txt,audio-text/books/english-g3/pages/page-018.txt,"שורה זהה מופיעה פעמיים ברצף: ""The sky is blue""","איך | אומרים | ""השמיים | כחולים""? | The | sky | is | blue | The | sky | is | blue",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-025.txt,audio-text/books/english-g3/pages/page-025.txt,"שורה זהה מופיעה פעמיים ברצף: ""She feels happy""","איך | אומרים | ""היא | מרגישה | שמחה""? | She | feels | happy | She | feels | happy",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-032.txt,audio-text/books/english-g3/pages/page-032.txt,"שורה זהה מופיעה פעמיים ברצף: ""My brother reads""","איך | אומרים | ""אחי | קורא""? | My | brother | reads | My | brother | reads",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-039.txt,audio-text/books/english-g3/pages/page-039.txt,"שורה זהה מופיעה פעמיים ברצף: ""I eat an apple""","איך | אומרים | ""אני | אוכל | תפוח""? | I | eat | an | apple | I | eat | an | apple",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-046.txt,audio-text/books/english-g3/pages/page-046.txt,"שורה זהה מופיעה פעמיים ברצף: ""The book is on the table""","איך | אומרים | ""הספר | על | השולחן""? | The | book | is | on | the | table | The | book | is | on | the | table",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-053.txt,audio-text/books/english-g3/pages/page-053.txt,"שורה זהה מופיעה פעמיים ברצף: ""There are ten books""","איך | אומרים | ""יש | עשרה | ספרים""? | There | are | ten | books | There | are | ten | books",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-060.txt,audio-text/books/english-g3/pages/page-060.txt,"שורה זהה מופיעה פעמיים ברצף: ""We learn English""","איך | אומרים | ""אנחנו | לומדים | אנגלית""? | We | learn | English | We | learn | English",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-067.txt,audio-text/books/english-g3/pages/page-067.txt,"שורה זהה מופיעה פעמיים ברצף: ""My head hurts""","איך | אומרים | ""הראש | שלי | כואב""? | My | head | hurts | My | head | hurts",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
