gameKey,level,gradeBand,taskId,taskType,prompt,childMissionDisplay,onBoard,cards,correctAnswer,distractors,childAction,answerInPrompt,canCopy,skill,ageOk,status,fixNote
leo-word-train,easy,א׳–ב׳,wt-e-u2l-1,upper_to_lower,העמיסו אות קטנה ליד A,העמיסו אות קטנה ליד A,A · _,x / a / g / l,a,x / g / l,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות גדולה→קטנה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-u2l-2,upper_to_lower,העמיסו אות קטנה ליד B,העמיסו אות קטנה ליד B,B · _,g / b / w / j,b,g / w / j,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות גדולה→קטנה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-u2l-3,upper_to_lower,העמיסו אות קטנה ליד C,העמיסו אות קטנה ליד C,C · _,l / n / c / r,c,l / n / r,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות גדולה→קטנה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-u2l-4,upper_to_lower,העמיסו אות קטנה ליד D,העמיסו אות קטנה ליד D,D · _,q / v / l / d,d,q / v / l,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות גדולה→קטנה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-u2l-5,upper_to_lower,העמיסו אות קטנה ליד E,העמיסו אות קטנה ליד E,E · _,p / e / a / y,e,p / a / y,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות גדולה→קטנה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-u2l-6,upper_to_lower,העמיסו אות קטנה ליד F,העמיסו אות קטנה ליד F,F · _,i / f / b / c,f,i / b / c,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות גדולה→קטנה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-u2l-7,upper_to_lower,העמיסו אות קטנה ליד G,העמיסו אות קטנה ליד G,G · _,b / j / y / g,g,b / j / y,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות גדולה→קטנה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-u2l-8,upper_to_lower,העמיסו אות קטנה ליד H,העמיסו אות קטנה ליד H,H · _,h / g / f / s,h,g / f / s,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות גדולה→קטנה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-l2u-1,lower_to_upper,העמיסו אות גדולה ליד a,העמיסו אות גדולה ליד a,a · _,A / c / n / u,a,c / n / u,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות קטנה→גדולה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-l2u-2,lower_to_upper,העמיסו אות גדולה ליד b,העמיסו אות גדולה ליד b,b · _,n / q / i / B,b,n / q / i,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות קטנה→גדולה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-l2u-3,lower_to_upper,העמיסו אות גדולה ליד c,העמיסו אות גדולה ליד c,c · _,f / l / C / o,c,f / l / o,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות קטנה→גדולה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-l2u-4,lower_to_upper,העמיסו אות גדולה ליד d,העמיסו אות גדולה ליד d,d · _,v / D / i / g,d,v / i / g,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות קטנה→גדולה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-l2u-5,lower_to_upper,העמיסו אות גדולה ליד e,העמיסו אות גדולה ליד e,e · _,f / g / E / j,e,f / g / j,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות קטנה→גדולה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-l2u-6,lower_to_upper,העמיסו אות גדולה ליד f,העמיסו אות גדולה ליד f,f · _,x / F / n / c,f,x / n / c,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות קטנה→גדולה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-l2u-7,lower_to_upper,העמיסו אות גדולה ליד g,העמיסו אות גדולה ליד g,g · _,G / b / s / t,g,b / s / t,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות קטנה→גדולה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-l2u-8,lower_to_upper,העמיסו אות גדולה ליד h,העמיסו אות גדולה ליד h,h · _,i / f / H / h,h,i / f / h,לבחור אות מתאימה ולהעמיס על קרון ריק,no,no,התאמת אות קטנה→גדולה,yes,מאושר,—
