path,from,to,reason
english/english-g1/pages/page-006.txt,האות הגדולה היא S ✓,האות הגדולה היא S.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-013.txt,האות הקטנה היא b ✓,האות הקטנה היא b.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-020.txt,k מתאימה ל-K ✓,k מתאימה ל-K.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-034.txt,פ ✓,התשובה היא הצליל פ.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-041.txt,הצליל הראשון ב-hat הוא ה ✓,הצליל הראשון ב-hat הוא ה.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-048.txt,door = דלת ✓,door פירושו: דלת.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-055.txt,mom = אמא ✓,mom פירושו: אמא.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-062.txt,bed = מיטה ✓,bed פירושו: מיטה.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-069.txt,hat = כובע ✓,hat פירושו: כובע.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-076.txt,Close your book = סוגרים את הספר ✓,Close your book פירושו: סוגרים את הספר.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-083.txt,Look. = הסתכלו ✓,Look פירושו: הסתכלו.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-090.txt,green = ירוק ✓,green פירושו: ירוק.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-097.txt,seven = שבעה (7) ✓,"seven פירושו: שבעה, המספר 7.",הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-104.txt,sister = אחות ✓,sister פירושו: אחות.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-111.txt,bird = ציפור ✓,bird פירושו: ציפור.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-118.txt,sad = עצוב ✓,sad פירושו: עצוב.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-125.txt,jump = לקפוץ ✓,jump פירושו: לקפוץ.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-132.txt,teacher = מורה ✓,teacher פירושו: מורה.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-139.txt,You are sad = אתה עצוב ✓,You are sad פירושו: אתה עצוב.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-146.txt,You are sad = אתה עצוב ✓,You are sad פירושו: אתה עצוב.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g1/pages/page-153.txt,Thank you = תודה ✓,Thank you פירושו: תודה.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-006.txt,q ✓,התשובה היא q.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-013.txt,V ✓,התשובה היא V.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-020.txt,ד ✓,התשובה היא הצליל ד.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-027.txt,pig ✓,התשובה היא pig.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-034.txt,ה ✓,התשובה היא הצליל ה.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-041.txt,run ✓,התשובה היא run.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-048.txt,can או fan ✓,התשובות המתאימות הן can או fan.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
