book,page,reason,new_content
english-g1,page-135.txt,הסרת סימני … ו-/ כדי שהעמוד ייקרא וישמע טבעי.,"שתי תבניות קבועות:
I am — מתחיל משפט על עצמי.
You are — מתחיל משפט על מי שמדברים אליו.
אחר כך מוסיפים מילה כמו happy או sad.
דוגמה:
I am happy — אני שמח.
You are sad — אתה עצוב.
"
english-g2,page-011.txt,הסרת רצף אותיות עם … שלא נשמע טוב בשמע.,"מה בא אחרי K?
בסדר האותיות, אחרי K באה L.
L
L
"
english-g2,page-013.txt,הסרת רצף ... T — U — V — W ... שלא נקרא טוב.,"השאלה: מה בא לפני W?
בסדר האותיות, לפני W באה V.
V ✓
"
english-g2,page-039.txt,החלפת s … i … t למשפט קריא.,"קראו sit
אומרים את הצלילים לאט: s, i, t.
מחברים יחד: sit
"
english-g2,page-041.txt,החלפת r … u … n למשפט קריא.,"השאלה: קראו — run
אומרים את הצלילים לאט: r, u, n.
מחברים יחד.
run ✓
"
english-g2,page-042.txt,הסרת סימן … מתוך סוגריים.,"התחלתם לקרוא מילים קצרות.
בעמוד הבא נלמד משפחות מילים כמו at ו-an.
"
english-g2,page-066.txt,החלפת s … u … n למשפט קריא.,"sun — שומעים את הצלילים לאט: s, u, n. המילה היא sun, תמונה של שמש.
book — ספר — book.
"
english-g2,page-074.txt,הסרת סימן … מתוך דוגמה.,"איזו תמונה ל-""It is red""?
red — אדום.
בוחרים תמונה של משהו אדום, כמו תפוח או כדור.
תמונה של משהו red
"
english-g3,page-013.txt,דיוק כלל fly/flies — לא 'מוסיפים ies' בצורה מטעה.,"תרגיל:
ציפור קטנה בשמיים.
הפתרון:
The bird flies.
הציפור עפה.
כל הכבוד!
במילה fly, כשמוסיפים s, הצורה הנכונה היא flies.
"
english-g3,page-069.txt,תיקון הסבר מטעה שאמר ש-leg הוא he/she/it.,"תרגיל:
ילד נפל ומחזיק את רגלו.
הפתרון:
My leg hurts.
הרגל שלי כואבת.
כל הכבוד! My + חלק גוף + hurts.
מוסיפים s ל-hurt כי leg הוא שם עצם יחיד.
"
english-g3,page-105.txt,הסרת What is… שלא נקרא טוב.,"עכשיו אתם שואלים שאלות עם Do.
בתרגול תמצאו Do you like music?
וגם שאלות עם What is.
"
english-g3,page-121.txt,החלפת אני הולך/ת וניקוי חץ.,"דוגמה:
I go to bed.
אפשר לתרגם: אני הולך לישון.
אפשר גם: אני הולכת לישון.
מתרגלים מעבר מעברית לאנגלית, וגם מאנגלית לעברית.
"
english-g3,page-122.txt,הסרת אני הולך/ת.,"ילד הולך לישון.
I go to bed.
אני הולך לישון.
"
english-g3,page-123.txt,הסרת אני הולך/ת.,"איך אומרים ""אני הולך לישון""?
I go to bed
"
english-g3,page-125.txt,הסרת אני קם/ת וניסוח טבעי.,"תרגיל:
שעון מעורר מצלצל בבוקר.
הפתרון:
I wake up early.
אני קם מוקדם.
כל הכבוד! wake up = לקום — שתי מילים לפעולה אחת. early = מוקדם.
"
english-g3,page-127.txt,הסרת אני אוהב/ת.,"היום נתרגל תרגום על תחביבים.
I like to draw — אני אוהב לצייר.
אפשר לומר גם: אני אוהבת לצייר.
"
english-g3,page-128.txt,הסרת אני אוהב/ת.,"דוגמה:
I like to draw.
אני אוהב לצייר.
אפשר גם: אני אוהבת לצייר.
She plays the piano.
היא מנגנת בפסנתר.
"
