gameKey,level,gradeBand,taskId,taskType,prompt,childMissionDisplay,onBoard,cards,correctAnswer,distractors,childAction,answerInPrompt,canCopy,skill,ageOk,status,fixNote
leo-word-detective,easy,א׳–ב׳,wd-e-ld-1,letter_drop,גררו אות פותחת — כלב,emoji:🐕,אות פותחת,ל / ב / ח / כ,כ,ל / ב / ח,לגרור אות פותחת ללוח,no,no,אות פותחת,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-ld-2,letter_drop,גררו אות פותחת — חתול,emoji:🐱,אות פותחת,ל / ח / ת / ב,ח,ל / ת / ב,לגרור אות פותחת ללוח,no,no,אות פותחת,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-ld-3,letter_drop,גררו אות פותחת — בית,emoji:🏠,אות פותחת,י / ש / ב / ת,ב,י / ש / ת,לגרור אות פותחת ללוח,no,no,אות פותחת,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-ld-4,letter_drop,גררו אות פותחת — ספר,emoji:📚,אות פותחת,ר / מ / ס / פ,ס,ר / מ / פ,לגרור אות פותחת ללוח,no,no,אות פותחת,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-ld-5,letter_drop,גררו אות פותחת — עץ,emoji:🌳,אות פותחת,ץ / נ / ר / ע,ע,ץ / נ / ר,לגרור אות פותחת ללוח,no,no,אות פותחת,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-ld-6,letter_drop,גררו אות פותחת — מים,emoji:💧,אות פותחת,ש / ם / י / מ,מ,ש / ם / י,לגרור אות פותחת ללוח,no,no,אות פותחת,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-ld-7,letter_drop,גררו אות פותחת — שמש,emoji:☀️,אות פותחת,ס / מ / ר / ש,ש,ס / מ / ר,לגרור אות פותחת ללוח,no,no,אות פותחת,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-ld-8,letter_drop,גררו אות פותחת — פרח,emoji:🌸,אות פותחת,פ / ח / ל / ר,פ,ח / ל / ר,לגרור אות פותחת ללוח,no,no,אות פותחת,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-fg-1,fill_gap,השלימו: שו_חן — גררו אות,אות חסרה,אות חסרה,נ / ר / מ / ל,ל,נ / ר / מ,לגרור אות חסרה ללוח,no,no,אות חסרה,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-fg-2,fill_gap,השלימו: י_ד — גררו אות,אות חסרה,אות חסרה,ש / ר / ל / ח,ל,ש / ר / ח,לגרור אות חסרה ללוח,no,no,אות חסרה,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-fg-3,fill_gap,השלימו: ס_פר — גררו אות,אות חסרה,אות חסרה,כ / מ / פ / ב,פ,כ / מ / ב,לגרור אות חסרה ללוח,no,no,אות חסרה,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-fg-4,fill_gap,השלימו: ע_נן — גררו אות,אות חסרה,אות חסרה,ש / נ / ל / מ,נ,ש / ל / מ,לגרור אות חסרה ללוח,no,no,אות חסרה,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-fg-5,fill_gap,השלימו: מ_ים — גררו אות,אות חסרה,אות חסרה,ש / ר / י / ל,י,ש / ר / ל,לגרור אות חסרה ללוח,no,no,אות חסרה,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-fg-6,fill_gap,השלימו: כ_סא — גררו אות,אות חסרה,אות חסרה,ל / ב / י / ח,י,ל / ב / ח,לגרור אות חסרה ללוח,no,no,אות חסרה,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-fg-7,fill_gap,השלימו: ג_שם — גררו אות,אות חסרה,אות חסרה,ש / ר / מ / ל,ש,ר / מ / ל,לגרור אות חסרה ללוח,no,no,אות חסרה,yes,מאושר,—
leo-word-detective,easy,א׳–ב׳,wd-e-fg-8,fill_gap,השלימו: ח_לון — גררו אות,אות חסרה,אות חסרה,מ / ל / נ / ש,ל,מ / נ / ש,לגרור אות חסרה ללוח,no,no,אות חסרה,yes,מאושר,—
