scenarioId,totalQuestions,totalErrors,patternCount,accuracyPct,patternRatioOfQuestions,patternRatioOfErrors,observedPatternLevel,evidenceStrength,engineDecision,accuracyBand,isFactualObservation,isRepeatedPattern,isCentralPattern,shownToParent,patternShownSpecifically,parentFacingText,badge,visualVariant,whyShownOrHidden
2of40,40,2,2,95,0.05,1,strong,strong,mastery_stable,mastery,true,true,true,false,false,שליטה יציבה.,מצוין,advance,hidden: pattern strong but engineDecision=mastery_stable (positive accuracy band) blocks factual enrich | NOTE: strong because ratioAmongWrongs=1 (100% of few errors) while ratioAmongQuestions=0.050
3of40,40,3,3,93,0.075,1,strong,strong,mastery_stable,mastery,true,true,true,false,false,שליטה יציבה.,מצוין,advance,hidden: pattern strong but engineDecision=mastery_stable (positive accuracy band) blocks factual enrich | NOTE: strong because ratioAmongWrongs=1 (100% of few errors) while ratioAmongQuestions=0.075
2of12,12,2,2,83,0.1667,1,consistent,strong,partial_stable,partial_good,true,true,true,false,false,הבנה חלקית.,במעקב,maintain,hidden: pattern consistent but engineDecision=partial_stable (positive accuracy band) blocks factual enrich
3of12,12,3,3,75,0.25,1,consistent,strong,partial_stable,partial_good,true,true,true,false,false,הבנה חלקית.,במעקב,maintain,hidden: pattern consistent but engineDecision=partial_stable (positive accuracy band) blocks factual enrich
4of12,12,4,4,67,0.3333,1,consistent,strong,topic_needs_strengthening,needs_strengthening,true,true,true,true,true,בנושא נושא יש חלק שדורש חיזוק. ב-4 תשובות חזרה טעות חישוב של סטייה ב-1. מבוסס על 12 שאלות שנפתרו בנושא.,כדאי לחזק,remediate,shown: consistent/strong + evidenceStrength=strong + gap/strengthen + mapped label
4of4,4,4,4,0,1,1,observed,small_sample,insufficient_data,insufficient_data,true,false,false,false,false,אין מספיק מידע.,מעט שאלות - עדיין אין מספיק נתונים,neutral,hidden/early: level=observed does not meet enrich gate (needs consistent/strong + strong evidence + gap/strengthen)
6of25,25,6,6,76,0.24,1,consistent,strong,partial_stable,partial_good,true,true,true,false,false,הבנה חלקית.,במעקב,maintain,hidden: pattern consistent but engineDecision=partial_stable (positive accuracy band) blocks factual enrich
acc_under50_q20,20,12,8,40,0.4,0.6667,consistent,strong,clear_topic_gap,clear_gap,true,true,true,true,true,בנושא נושא נראה קושי ברור. ב-8 תשובות חזרה טעות חישוב של סטייה ב-1. מבוסס על 20 שאלות שנפתרו בנושא.,כדאי לתרגל עוד,remediate,shown: consistent/strong + evidenceStrength=strong + gap/strengthen + mapped label
acc_50_69_q20,20,8,6,60,0.3,0.75,consistent,strong,topic_needs_strengthening,needs_strengthening,true,true,true,true,true,בנושא נושא יש חלק שדורש חיזוק. ב-6 תשובות חזרה טעות חישוב של סטייה ב-1. מבוסס על 20 שאלות שנפתרו בנושא.,כדאי לחזק,remediate,shown: consistent/strong + evidenceStrength=strong + gap/strengthen + mapped label
acc_70_89_q25,25,6,6,76,0.24,1,consistent,strong,partial_stable,partial_good,true,true,true,false,false,הבנה חלקית.,במעקב,maintain,hidden: pattern consistent but engineDecision=partial_stable (positive accuracy band) blocks factual enrich
acc_90plus_q20,20,2,2,90,0.1,1,consistent,strong,mastery_stable,mastery,true,true,true,false,false,שליטה יציבה.,מצוין,advance,hidden: pattern consistent but engineDecision=mastery_stable (positive accuracy band) blocks factual enrich
acc_90plus_q40_2err,40,2,2,95,0.05,1,strong,strong,mastery_stable,mastery,true,true,true,false,false,שליטה יציבה.,מצוין,advance,hidden: pattern strong but engineDecision=mastery_stable (positive accuracy band) blocks factual enrich | NOTE: strong because ratioAmongWrongs=1 (100% of few errors) while ratioAmongQuestions=0.050
acc_mastery_q10,10,0,0,100,0,0,none,supported,mastery_stable,mastery,false,false,false,false,false,שליטה יציבה.,מצוין,advance,engineDecision=mastery_stable; level=none; enrich=false
acc_early_q9_100,9,0,0,100,0,0,none,supported,early_direction_only,mastery,false,false,false,false,false,כיוון ראשוני.,מעט שאלות - עדיין אין מספיק נתונים,neutral,early/insufficient: engineDecision=early_direction_only; pattern type/count not surfaced as factual
